식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,추가 장비,영상,QR 코드 결제,X (트위터),외국어 지원,맥주 제작자,온라인 예약
魚介ビストロ sasaya BYO 大崎,해산물 비스트로 사사야 비오 오사키,https://retty.me/area/PRE13/ARE13/SUB1303/100001160394/,03-6417-0574,이자카야 해산물/해산물 요리 파스타 굴 바,"[월요일부터 금요일까지]
점심 11:30-14:00
저녁 식사 17 : 30-23 : 30
[토양]
저녁 식사 17:30-22:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2F New Osaki Building, 3-6-17 Osaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 오사키 역에서 도보로 1 분 (30m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (640m)
JR Yamanote Line / Gotanda Station 10 분 도보 (760m)",없음,80 석,없음,"(완전히 금연 (점심 시간 동안 흡연 없음))))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,,,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간 전후 2 시간, 2 시간 30 분 만에 다소 링크, 3 시간 이상",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"연회 및 음주 파티 전 만세 드링크 저녁 식사 개인 객실 저녁 식사 쿠폰 이용 가능한 페이 페이 지불 가능 급여 지불 포인트 온라인 예약 가능 연말 파티 인기 상점 예약 성인 새해 파티 성인 연말 파티 세련
다른 사용 장면을 참조하십시오",숨는 곳,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001160394/archive/136330-589314e247df7.jpg,PayPay,,,,
maya 五反田店,Maya Gotanda 상점,https://retty.me/area/PRE13/ARE13/SUB1303/100000760740/,050-5462-7426,이자카야 테이크 아웃,"[태양, 월요일부터 금요일, 토요일]
점심 11:00-15:00
저녁 식사 17:00-24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",,"Watanabe Boxing Building B1F, 5-28-12 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (200m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (590m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (920m)",예,70 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
최대 70 명을 임대 할 수 있습니다 (좌석)",,https://www.instagram.com/mayagotanda/,,,,"한 시간 반 동안 싱글 링크, 그리고 2 시간 동안 당신은 모두 링크","우리는 야채 요리, 고기 요리, 유기농 야채, 매우 매운 메뉴, 요리사가 유명한 식당에서 훈련을 받았으며 유명한 요리사가 요리했습니다.","맥주, 사케, 쇼치",사용 가능한 예약,"점심, 저녁 식사, 쌀, 싱글, 음료, 전산 된 점화, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 술 마시기, 와인 마시기, 세련된, 비 흡연, 세련된 점심, 음주 Shochu, Paypay Payment availy
다른 사용 장면을 참조하십시오",,,,,,,예,03-5798-2583,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000760740/archive/349872-6789f0e6c97a9.jpg,PayPay,https://x.com/mayagotanda,,,
焼き鳥きんざん 五反田店,Yakitori Kinzan Gotanda 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001768500/,050-5462-8107,야키토리 이자카야,"[하루 종일]
저녁 식사 16:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3 층, 1-17-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (150m)
JR Yamanote Line / Gotanda Station 3 분 도보 (210m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (680m)",예,,,,,,"[공식적인]
https://yakitorikinnzann-gotannda.foodre.jp/",,,,,,,,,"한 사람을위한 쌀, 연회 및 음주 파티, 고기, 웰컴 파티, 모든 링크, 와인, 와인, 연말 파티, Paypay Points, 온라인 예약, 인기있는 레스토랑
다른 사용 장면을 참조하십시오",,,,,,,예,03-6420-0299,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001768500/archive/3563474-67e277ca50fd1.jpg,,,,,
シュラスコ＆ビアレストラン ALEGRIA gotanda アレグリア五反田,Churrasco & Beer Restaurant Alegria Gotanda Alegria Gotanda,https://retty.me/area/PRE13/ARE13/SUB1303/100001388183/,050-5303-2965,Churrasco Yakiniku,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-22:30 L.O. 22:00
[Sun, Saturday, Holidays, 휴일 전]
점심 11:30-15:00 L.O. 14:30
[태양, 토요일, 휴일]
저녁 식사 16:00-22:30 L.O. 22:00",12 월 31 일 -1 월 3 일,"점심 : ~ 5,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Gotanda B1F, 1-30-2 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (180m)
오사키 히로 코지 역에서 도쿄 이케 가미 라인 / 도보 3 분 (240m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (840m)","없음
근처 (할인 없음) 사용 가능","53 석
(앉을 때 53 명, 서있을 때 70 명)",,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
예약 할 수있는 제한된 수의 사람들 : 52 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 65 명",https://alegriagotanda.owst.jp/,,,"가격은 2025 년 6 월 2 일 월요일부터 개정됩니다.
최근 가격 상승으로 인해 최근 원자재가 증가함에 따라 현재 가격을 계속 유지하기가 어려워졌습니다.

고객에게 고품질을 계속 제공하기 위해 가격을 검토하기로 결정했습니다. 이해해 주셔서 감사합니다.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔 All-You-Can-Drink 코스를위한 All-You-Can-Drink가 포함되어 있습니다.","우리는 고기 요리, 수입 재료, 채식 메뉴 및 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"연회 및 음주 파티 점심 점심 식사를 마시는 모든 멍청한 저녁 식사 점심 식사 점심 아이들과 함께 즐기십시오.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",,,예,03-6417-0300,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001388183/archive/2482590-61494F31607C7.JPG,PayPay,,,,
遠野ジンギスカン酒場よし田 五反田本店,Tono Jingisu Khan Bar Yoshida Gotanda 메인 스토어,https://retty.me/area/PRE13/ARE13/SUB1303/100001530384/,050-5462-2063,Jingisu Khan Izakaya,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Sanyu Nishi-Gotanda 빌딩 1-32-4 Nishi-Gotanda, Shinagawa-Ku, 도쿄 1st 지하실 층
큰지도를보십시오","■ 스테이션에서 접근
오사키 히로 코지 역에서 도우 키 이케 가미 라인 / 도보 3 분 (170m)
JR Yamanote Line / Gotanda Station 3 분 도보 (240m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (790m)",예,40 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.meraki-inc.jp/,,,,,,,,,"저녁 식사, 라이스, 솔로, 흡연 허용, 연회 및 음주 파티, 쿠폰 이용 가능, Paypay Payment, New Year 's Party, Welcome Party, Quick and Year-End Party, 빠르고 캐주얼, 새해 파티, 캐주얼, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,예,03-6910-4800,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001530384/archive/2936503-6392e179e455e.png,PayPay,,,,
五反田焼肉じゅう兵衛 はらみ堂 和牛一頭流,Gotanda Yakiniku jubei haramido wagyu 쇠고기 편도,https://retty.me/area/PRE13/ARE13/SUB1303/100000012283/,050-5461-3611,야키니쿠 호르몬 이자카야 쇠고기 요리,"[월요일 ~ 수요일과 금요일]
저녁 식사 17:00-23:30 L.O. 22:45
[나무]
점심 17:00-23:30 L.O. 22:45
[태양, 토요일, 휴일]
점심 12:00-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:15","하루 종일 개점
새해 휴일 (확인하십시오)
12/31 ~ 1/2","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",예,,"1-32-2 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보로 4 분 거리 (250m)
JR Yamanote Line / Gotanda Station 4 분 도보 (320m)
Tokyu Meguro Line / Fudomae 역에서 도보로 11 분 (810m)",,55 석,없음,"예
완전히 흡연이 허용됩니다
(흡연은 평일에만 허용됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://haramido-gotanda.foodre.jp/
https://urutora-d.com/",,,,,,,,,"식사, 기념일, 점심, 소녀의 밤, 고기, 점심, 저녁, 연말 파티, all-you-can-drink, 날짜, 쿠폰 이용 가능, 새해 파티, 개인 객실 날짜, Paypay Payment, Paypay Points, 온라인 예약, 작별 파티, 전용 파티, 개인 룸
다른 사용 장면을 참조하십시오",,,,,,,,03-3491-8938,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000012283/cover/7163-55bafef569f65.jpg,PayPay,,,,
大衆食堂あまつ 大崎シンクパーク店,인기있는 식당 Amatsu Osaki 싱크대 공원 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001652993/,050-5462-3040,이자카야 중국 요리,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[태양/토요일]
 14:00-22:00 L.O. 21:00
*건물과 동일합니다",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-1-1 오사키, 시나가와 쿠, 도쿄 오사키 싱크 파크 타워 2f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Osaki Station에서 도보 2 분 (92m)
도쿄 이케 가미 라인 / 오사키 히로 코지 스테이션 10 분 도보 (750m)
JR Yamanote Line / Gotanda Station 12 분 도보 (900m)",없음,70 석,예,"연기 분리
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://taishu-matsu-osaki.com/,,,좌석 수수료가 있습니다. (코스 당시 가격에 포함),,,,,,"점심, 저녁, 쌀, 파티, 연회 및 음주 파티, 쿠폰 이용 가능, PayPay Points Online 예약 가능, 새해 파티, 캐주얼, 새해 파티, 빠른 새해 파티, 작별 파티, 점심 음주
다른 사용 장면을 참조하십시오",,,,,,,없음,050-2018-8857,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001652993/archive/3027528-642e305e63a73.png,,,,,
瀬戸内 和彩 Naoshima,Setouchi Wasa Naoshima,https://retty.me/area/PRE13/ARE13/SUB1303/100000003695/,050-5304-3131,Izakaya 해산물/해산물 요리 일본 음식 창조적 요리 사시미,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:30 L.O. 21:45
[tue-fri]
점심 11:30-14:30 L.O. 14:00
팔리 자마자 끝납니다
*점심 시간에 준비된 요리의 수가 매진되면 우리는 거기에있을 것입니다.","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
*우리는 2025 년 5 월 31 일에 하루 종일 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay","5-27-2 Higashi-Gotanda, Shinagawa-Ku, 도쿄 메인 스테이지 Gotanda Station B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (150m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (580m)
Toei Asakusa Line / Takanawadai Station에서 도보로 11 분 (880m)","없음
근처 (할인 없음) 사용 가능","33 석
(우리는 코스를 사용하여 타타미 룸에서 7 명 이상의 사람들을위한 좌석 공간을 예약 할 수 있습니다. 이해해 주셔서 감사합니다. 또한 상점 내부 (최대 33 명의 사람들), 홀 (카운터 좌석에 앉은 사람들), 타타미 룸 (최대 11 명까지)에 대한 예약을 허용합니다.",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
제한된 수의 사람들이 임대 할 수있는 제한된 수 (좌석) : 33 명","[공식적인]
https://setouchiwasai-naoshima.foodre.jp/",https://www.instagram.com/naoshima_gotanda/,https://www.facebook.com/repas-naoshima-%E4%BA%94%E5%8F%8D%E7%94%B0-165027366898085/,"- 초등학교 시대의 어린이 인 경우 전화로 저희에게 연락하십시오.
- 어린이 의자는 이용할 수 없습니다.
where 예약 상태에 따라 Sunken Gotatsu를위한 좌석을 제공 할 수 있습니다.
Shinagawa Ward 고향 세금 기부 [Shinagawa e-gai 선물]는 지불 방법으로 사용할 수 있습니다.","6,000 엔에서 6,999 엔 코스, 7,000 엔에서 7,999 엔 코스, 8,000 엔 이상이 있습니다.",,"우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"저녁 식사, 개인 실, 저녁 식사, 엔터테인먼트, 크리스마스 저녁 식사, 올해-싱크 링크, 연말 파티, 새해 파티, 작별 파티, 환영 파티, Paypay 지불 가능, Paypay Points, 온라인 예약, 점심 시간, 세련된, 성인 날짜, 새해 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","축하 가능성
배송 가능",없음,예,불가능합니다,,없음,03-6413-5300,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000003695/archive/3322818-665813991ea71.jpg,PayPay,,,,
タンとタン 焼肉いわしげ 五反田店,황갈색과 탄 야키 니 쿠 이와시지 고 탄다 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001571701/,03-6420-0726,야키 니쿠 쇠고기 혀 호르몬,"[하루 종일]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:00-22:30 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다
저녁 식사 시간이 변경됩니다. 불편을 드려 죄송합니다. 이로 인해 귀하의 협력에 감사드립니다.
저녁 식사 17 : 00-22 : 30 (L.O. 22:00)","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-2-8 Nishigotanda, Shinagawa-Ku, 도쿄 FPG 링크 Gotanda 8f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (39m)
오사키 히로 코지 역에서 도우 키 이케 가미 라인 / 도보 4 분 (320m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (850m)","예
근처 (할인 없음) 사용 가능",45 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://tantotan.base.shop,,https://www.facebook.com/@yakinikuiwashige,,"7,000 엔에서 7,999 엔으로 제공됩니다","999 엔 미만의 all-you-can-drink 가격, 1000 엔에서 1999 엔까지, 2 시간 동안 all-you-can-drink",우리는 고기 요리와 식품 생산 공간에 대해 특히 알고 있으며 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.,"맥주, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"PayPay 지불 가능 PAYPAY POSS 온라인 예약 이용 가능 연말-엔드 파티 새해 파티 점심 식사 점심 식사 저녁 식사 저녁 식사 저녁 식사 저녁 식사 성인 파티 성인 연말 파티 작별 파티 세련된 파티 세련
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,예,,휴대품 룸이 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001571701/archive/2579015-61bd6f42f2e9d.jpg,PayPay,https://x.com/tan_to_tan_,,,
シュラスコ＆ビアレストラン ALEGRIA gotanda アレグリア五反田,Churrasco & Beer Restaurant Alegria Gotanda Alegria Gotanda,https://retty.me/area/PRE13/ARE13/SUB1303/100001388183/,050-5303-2965,Churrasco Yakiniku,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-22:30 L.O. 22:00
[Sun, Saturday, Holidays, 휴일 전]
점심 11:30-15:00 L.O. 14:30
[태양, 토요일, 휴일]
저녁 식사 16:00-22:30 L.O. 22:00",12 월 31 일 -1 월 3 일,"점심 : ~ 5,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Gotanda B1F, 1-30-2 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (180m)
오사키 히로 코지 역에서 도쿄 이케 가미 라인 / 도보 3 분 (240m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (840m)","없음
근처 (할인 없음) 사용 가능","53 석
(앉을 때 53 명, 서있을 때 70 명)",,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
예약 할 수있는 제한된 수의 사람들 : 52 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 65 명",https://alegriagotanda.owst.jp/,,,"가격은 2025 년 6 월 2 일 월요일부터 개정됩니다.
최근 가격 상승으로 인해 최근 원자재가 증가함에 따라 현재 가격을 계속 유지하기가 어려워졌습니다.

고객에게 고품질을 계속 제공하기 위해 가격을 검토하기로 결정했습니다. 이해해 주셔서 감사합니다.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔 All-You-Can-Drink 코스를위한 All-You-Can-Drink가 포함되어 있습니다.","우리는 고기 요리, 수입 재료, 채식 메뉴 및 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"연회 및 음주 파티 점심 점심 식사를 마시는 모든 멍청한 저녁 식사 점심 식사 점심 아이들과 함께 즐기십시오.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",,,예,03-6417-0300,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001388183/archive/2482590-61494F31607C7.JPG,PayPay,,,,
レストラン 舟茶屋,레스토랑 funachaya,https://retty.me/area/PRE13/ARE13/SUB1303/100001211707/,050-5262-7929,호텔 뷔페/뷔페 서양 음식 Kaiseki 요리 중국 음식,"[하루 종일]
아침 7:00-10:00
점심 11:30-14:00
저녁 식사 17:00-22:00 L.O. 21:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
자세한 내용은 공식 웹 사이트를 확인하십시오.
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Nanaco, Rakuten Edy","1-6-2 오사키, 시나가와 쿠, 도쿄 3f New Otani Inn 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Osaki Station에서 도보 2 분 (160m)
도쿄 이케 가미 라인 / 오사키 히로 코지 스테이션 10 분 도보 (780m)
JR Yamanote Line / Gotanda Station 11 분 도보 (820m)",예,80 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://www.newotani-inntokyo.jp/restaurant/funachaya/,,,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 만 살해, 2 시간 동안 모두 싱글 링크",알레르기로 수용 할 수 있습니다,"맥주, 와인, 칵테일",사용 가능한 예약,"쌀, 점심, 기념일, 날짜, 저녁 식사, 개인 실, 연말 파티, 새해 파티, 개인 객실, 점심 급여 판매 지불, 급여 판매점, 작별 파티, 환영 파티, 점심 음주
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
호텔에 있습니다",테이크 아웃 가능성,없음,"예
어린이는 환영하고, 유치원 어린이는 환영하고, 초등학생은 환영 받고, 어린이 메뉴, 알레르기 음식을 이용할 수 있습니다.",불가능합니다,,예,03-3779-9180,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001211707/archive/2769682-62c27142c2a12.jpg,PayPay,,,,
