식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,Wi-Fi 사용,전화 번호,외국어 지원,영상,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,전원 공급 장치 사용,X (트위터),맥주 제작자,추가 장비,온라인 예약
なゝ樹 中目黒店,Naki Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001480954/,050-5461-4426,소바 (소바) 일본 음식,"[하루 종일]
 11:00-5:00
*24 시간 표기법",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1-3-16 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (170m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 6 분 (430m)
JR Yamanote Line / Ebisu Station 11 분 도보 (820m)",,"70 석
(■ 완벽한 개인 테이블 좌석 10 명 X 1 X 1 ■ 카운터/2 명 X 5 ■ 테이블 좌석 2 명 X 4 ■ 테이블 좌석 4 명 X 2 ■ 일방적 인 소파 좌석 4 명 X 1 ■ 일방적 인 소파 좌석 6 명 X 1)",예,"예
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,"[공식적인]
https://nanaki-nakameguro.foodre.jp/",,,,,,"날짜, 쌀, 점심, 늦은 밤, 저녁 식사, 고기, 엔터테인먼트, 연말 파티, 급여 지불 지불, 급여 지불 포인트, 온라인 예약 가능, 성인 새해 파티, 성인 연말 파티, 작별 파티, 환영 파티, 개인 객실, 점심 음주
다른 사용 장면을 참조하십시오",,,,,,,03-3712-7700,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001480954/archive/1972374-5f87ac1892bbb9png,,,,,,,,
アロハテーブル 中目黒,알로하 테이블 나카 메 구로,https://retty.me/area/PRE13/ARE7/SUB703/100000079333/,050-5262-7944,"서양식 음식, 팬케이크, 테이크 아웃, 카페","[하루 종일]
 11:30-22:00 L.O. 21:00
음식 L.O. 21:00 음료 L.O. 21:30
*비즈니스 시간은 상황에 따라 변경 될 수 있습니다.",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,PayPay,,"1F, Kamimeguro 1-7-8, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (230m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (490m)
JR Yamanote Line / Ebisu Station 15 분 도보 (1.2km)",예,"75 석
(◆ 테라스 (흡연) 8 좌석 2 명 (4-5 석으로 연결됨) / 6 좌석 x 2 테이블 (14 석으로 연결됨) ◆ 상점 내부 (스모크 비 흡연)는 50 명을 위해 예약 할 수 있습니다 (4/8/6 좌석과 연결) 2 명 / 3 좌석 x 3 / 2 Sofas (6 인용 좌석) 됨. 24 명을위한 반 개인 객실 2 석 x 5/4 좌석 x 2 (10 석으로 연결됨)))",없음,"불가능합니다
(ision 건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://www.alohatable.com/,*송장 지원,,,,,"점심, 저녁 식사, 쌀, 쌀, 사기꾼, 개인 실, 크리스마스 저녁 식사, 연말 파티, 고기, 테라스와 함께, 어린이, 생일, 애프터 파티, 쿠폰을 즐기고, 이용 가능, 신년 파티, 환영 파티, 점심 음주, 작별 파티
다른 사용 장면을 참조하십시오",,,,,,예,03-6416-5432,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000079333/archive/2410342-60daf117bbaeb.jpg,,,,,,,,
NAKAMEGURO GARELIA,Nakameguro Garelia,https://retty.me/area/PRE13/ARE7/SUB703/100001418615/,050-5303-1228,이탈리아 요리 파스타 고기 바,"[하루 종일]
저녁 식사 17:00-22:30 L.O. 21:30","매주 월요일마다 매주 목요일
가게가 닫히면 상점에 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1f, 4-9-2 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 8 분 (630m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 8 분 (570m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 16 분 (1.3km)",예,22 석,"예
(저녁 만 해당)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","우리는 야채 요리, 고기 요리, 생선 요리, 요리사가 유명한 레스토랑, 주인 요리사 및 매장 내 준비에 대해 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"와인 사용 가능한 저녁 생일 고기 연회/음료 솔로 손님을위한 와인이없는 개인 방에서 세련된 개인 실 세련된 개인 방은 예약 된 날짜 지불금 지불 이용 가능한 연말 파티 크리스마스 저녁 식사 새해 파티 캐주얼이 될 수 있습니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예,03-5734-1425,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001418615/archive/1127407-5d803bde5e23d.jpg,https://www.instagram.com/nakameguro.galeria/,,"전세계 점점 : 2,000-2,999 엔, 4,000-4,999 엔 (4,000-4,999 엔), 5,000 엔 이상에서 온 탁월한 링크, 2 시간 동안 싱글 링크, 2 시간 반 동안 온전한 링크",예 (무료),,,,
兜 中目黒 別邸,Kabuto Nakameguro Bess,https://retty.me/area/PRE13/ARE7/SUB703/100001522205/,050-5461-4427,야키니 쿠이자 카야,"[하루 종일]
 11:00-29:00 L.O. 4:00",,"점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"2f Nakame 108, 1-3-16 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (170m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 6 분 (430m)
JR Yamanote Line / Ebisu Station 11 분 도보 (820m)",예,"52 석
(모든 좌석은 개인 실입니다)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://kabuto-nakamegurobetti.foodre.jp/
https://kabutonakamegurobetti.owst.jp",,,,,,"기념일 저녁 식사 날짜 개인 실
다른 사용 장면을 참조하십시오",,,,,,예,03-3712-2900,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001522205/archive/1970533-5f86ca8c23e40.png,,,,,,,,
薬味×日本酒バル 鮮’z,조미료 X Sake Bar Shin'z,https://retty.me/area/PRE13/ARE7/SUB703/100001759855/,050-5462-6941,이자카야 해산물과 해산물,"[Sun, 화요일, 금요일, 토요일]
저녁 식사 17:00-23:30 L.O. 23:00
[tue-fri]
점심 11 : 30-14 : 00 L.O. 14:00
팔리 자마자 끝납니다
마감 시간은 하루에 따라 다를 수 있습니다
저희에게 연락하십시오!","매주 월요일
새해 휴일 (확인하십시오)","저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay","2-13-6 Kamimeguro, Meguro-Ku, 도쿄 Jouet Nakameguro 201
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (140m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (790m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)",없음,13 석,예,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(흡연의 경우, 가열 된 담배는 제한적입니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://yakumi-senz.foodre.jp/","이용 가능 : Rakuten Edy, Waon, Suica, Pasmo, Nanaco, Icoca, ID, Quicpay, ApplePay
이용 가능한 QR 코드 지불 : Coin+, Paypay, Rakuten Pay, DPay, AU Pay, Merpay, Wechat Pay (Wechat Pay)",,우리는 야채 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 흡연 허용, 싱글 파티, 여자 파티, 음주, 개인 지불 가능, Paypay Points, 온라인 예약 가능, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,불가능합니다,,예,080-2341-3053,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001759855/archive/3440785-6725ff77e816e.jpg,,,,예 (무료),,,,
兜 中目黒,카 부토 나카 메 구로,https://retty.me/area/PRE13/ARE7/SUB703/100001356881/,050-5461-4430,야키니쿠,"[하루 종일]
 11:00-5:00 L.O. 4:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔",예,PayPay,,"2f Raffine Nakameguro, 3-3-13 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 1 분 (76m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (660m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)",없음,88 석,없음,"연기 분리
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,"[공식적인]
https://kabuto-nakameguro.foodre.jp/
https://kabtonakameguro.owst.jp/",,,,,,"날짜, 개인 실, 기념일, 점심, 성인 은신처, 저녁 식사, 고기, 연말 파티, 새해 파티, 크리스마스 저녁 식사, 쿠폰 이용 가능, 지불금 지불 가능, 온라인 예약, 작별 파티, 환영 파티, 점심 음주
다른 사용 장면을 참조하십시오",,,,,,,03-6303-0629,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001356881/archive/1970335-5f86c34f949b7.png,,,,,,,,
ももたろう中目黒,모모 타로 나카 메 구로,https://retty.me/area/PRE13/ARE7/SUB703/100001187077/,050-5461-4429,야키토리 이자카야,"[태양, 월요일부터 금요일, 토요일]
 17:00-30:00 L.O. 29:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",예,PayPay,,"페니 빌딩 B1, 3-3-12 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 1 분 (71m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (720m)
도쿄 도요코 라인 / 유텐지 스테이션 도보 15 분 (1.1km)",,69 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://momotarou-nakameguro.foodre.jp/",,,,,,"날짜 세련된 개인 객실 저녁 식사 성인 숨겨진 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오",,,,,,,03-6303-2288,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001187077/archive/2546207-619B6215B54F6.JPEG,,,,,,,,
炭火焼肉オールスターズホルモンとんぼ,숯 구이 야키니 쿠 올스타 호르몬 잠자리,https://retty.me/area/PRE13/ARE7/SUB703/100001570243/,050-5262-8792,이자카야 야키니 쿠,"[월요일부터 목요일, 휴일]
저녁 식사 17:00-23:00 L.O. 22:00
[금]
저녁 식사 17:00-26:00 L.O. 25:00
[태양/토요일]
 17:00-23:00 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",,,"1-5-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (150m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 6 분 (450m)
JR Yamanote Line / Ebisu Station 11 분 도보 (830m)",없음,40 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(전자 담배 만 사용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명","예
최대 40 명을 임대 할 수 있습니다","[공식적인]
https://tombo.foodre.jp/",,,우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개인 객실, 쌀, 저녁 식사, 웨딩 기념일, 흡연, 엔터테인먼트, 술, 페이 페이 포인트, 온라인 예약 가능, 새해 파티, 작별 파티, 환영 파티, 인기있는 레스토랑, 예약, 캐주얼
다른 사용 장면을 참조하십시오","활발한 상점
단독 주택 레스토랑
숨는 곳
골목을 향합니다",,,예,,없음,03-6412-7437,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001570243/archive/259527-61dffce5e29e6.jpeg,https://www.instagram.com/tombo_nakameguro/,,,,,,,
なゝ樹 中目黒店,Naki Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001480954/,050-5461-4426,소바 (소바) 일본 음식,"[하루 종일]
 11:00-5:00
*24 시간 표기법",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1-3-16 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (170m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 6 분 (430m)
JR Yamanote Line / Ebisu Station 11 분 도보 (820m)",,"70 석
(■ 완벽한 개인 테이블 좌석 10 명 X 1 X 1 ■ 카운터/2 명 X 5 ■ 테이블 좌석 2 명 X 4 ■ 테이블 좌석 4 명 X 2 ■ 일방적 인 소파 좌석 4 명 X 1 ■ 일방적 인 소파 좌석 6 명 X 1)",예,"예
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,"[공식적인]
https://nanaki-nakameguro.foodre.jp/",,,,,,"날짜, 쌀, 점심, 늦은 밤, 저녁 식사, 고기, 엔터테인먼트, 연말 파티, 급여 지불 지불, 급여 지불 포인트, 온라인 예약 가능, 성인 새해 파티, 성인 연말 파티, 작별 파티, 환영 파티, 개인 객실, 점심 음주
다른 사용 장면을 참조하십시오",,,,,,,03-3712-7700,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001480954/archive/1972374-5f87ac1892bbb9png,,,,,,,,
草花木果,꽃 과일,https://retty.me/area/PRE13/ARE7/SUB703/100000061810/,03-5722-1055,이자카야 오키나와 요리,"[월요일부터 금요일과 토요일]
 17:00-1:00
[축하해요]
 17:00-0:00 L.O. 23:00
오후 11시 이후 전화로 예약하면 더 쉬울 것입니다.",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Waon, Quicpay","2-7-11-2f Kamimeguro, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (700m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","예
근처 (할인 없음) 사용 가능","54 석
((12 개의 개인 실, 18 개의 타타미 룸 (최대 22 석), 16 개의 테이블 좌석, 8 개의 카운터 좌석))))",예,"연기 분리
(흡연 또는 금연 좌석을 선택하더라도 요청을 충족시키지 못할 수 있습니다. 좌석을 예약하려면 직접 상점에 전화하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://sokabokka.foodre.jp/","*좌석 만 예약하는 경우
품목이 바쁘면 예약 시점부터 2.5 시간 일정 (2 시간 동안 마지막 순서)을 사용합니다. 이해 해주셔서 감사합니다.
위의 시간이 충분하지 않거나 좌석이있는 경우 상점에 직접 연락하십시오.
*흡연 또는 금연 좌석을 선택하더라도 귀하의 요청을 충족시키지 못할 수 있습니다.
좌석을 예약하려면 직접 상점에 전화하십시오.","4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.",,"맥주, Shochu, Awamori",사용 가능한 예약,"데이트 전일-마시는 연회/음료 파티 개인 방 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 어린이들과 함께 즐거운 주차장이 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,예,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000061810/archive/1706895-5ee03ae4a13f3.jpg,,,"4,000 엔에서 4,999 엔으로 인한 싱글 링크와 5,000 엔 이상을위한 모든 싱크 링크, 2 시간 동안 전세계 점점을 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
Yakiniku.ushicoco.,Yakiniku.ushicoco.,https://retty.me/area/PRE13/ARE7/SUB703/100001589269/,050-5462-5041,야키니 쿠이자 카야 바,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
점심 11:30-14:00
저녁 식사 17:00-22:00 L.O. 21:30","매주 월요일
*매월 마지막 일요일에는 점심 만 열립니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"4 층, 2-16-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (170m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (810m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)","예
근처 (할인 없음) 사용 가능","16 석
(테이블은 최대 10 명에게 사용할 수 있습니다)",예,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"https://yakiniku-ushicoco.foodre.jp/
https://ushicoco.com/","송장 지원 상점
적격 송장 (송장)에 대해 영수증을 발행 할 수 있습니다.
등록 번호 : T9810601200338
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.",,"우리는 야채 요리, 고기 요리, 생산 재료, 매우 매운 메뉴, 요리사는 유명한 레스토랑에서 훈련을 받았으며, 유명한 요리사, 주인 요리사, 매장 내 준비","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"와인을 즐기고 점심, 저녁 식사, 고기, 점심, 새해 파티, 환영 파티, 급여표 포인트, 온라인 예약, 인기있는 식당 예약
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
나이트 뷰를 볼 수 있습니다",축하 가능성,없음,예,불가능합니다,없음,03-6303-3190,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001589269/archive/3253265-65d55fb2df628.jpg,https://www.instagram.com/yakiniku.ushicoco/,,,예 (무료),,,,
夕月,저녁 달,https://retty.me/area/PRE13/ARE7/SUB703/100000072204/,050-5304-3198,일본 요리 카포/작은 레스토랑,"[하루 종일]
저녁 식사 18:00-23:00 L.O. 22:00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 30,000 엔",예,PayPay,,"1f, 2-44-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (300m)
도쿄 도요코 라인 / 유텐지 스테이션 11 분 도보 (850m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (950m)",없음,18 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
6 명을 예약 할 수있는 사람의 수에 대한 최저 한도
예약 할 수있는 제한된 수의 사람들 : 10 명","[공식적인]
https://nakameguro-yuuduki.foodre.jp/","*어린이는 임대 할 때만 서비스를 사용할 수 있습니다.
*코스를 예약하는 6 명 이상의 사람들이 라이센스를 만들 수 있습니다.
*미리 예약 한 사람들이 있다면, 6 명 이상이 우리를 방문 할 수 있더라도 자녀를 받아들이지 않을 것입니다.
[취소 정책]
전날 취소 된 경우 50%
하루에 취소하면 100% 식사 요금이 청구됩니다.
사람들의 수가 감소하면 감소 된 수에 대한 수수료를 청구합니다.",,,,예약이 필요합니다,"기념일 결혼 기념일 생일 날짜 성인 숨겨져있는 저녁 식사 엔터테인먼트 저녁 식사 결혼식을위한 새해 파티 이용 가능한 연말-엔드 파티를 이용할 수없는 연말 페이 페이 지불 이용 가능 급여 지불 포인트 온라인 예약 이용 가능 세련
다른 사용 장면을 참조하십시오",,,,불가능합니다,불가능합니다,없음,03-3791-5671,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000072204/archive/2549741-619F4040A4358.jpg,https://www.instagram.com/nakameguro_yuuzuki/,,,,,,,
