식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약,쇼핑 직무 정보,맥주 제작자,인근 시설
COCO Chiken & Ribs,Coco Chiken & Ribs,https://retty.me/area/PRE13/ARE1/SUB101/100001324892/,050-5462-1779,이자카야 한국 요리,"[하루 종일]
 11:30-25:00 L.O. 24:00","하루 종일 개점
L.O. 음료 평일 오후 11시 30 분
금요일과 토요일 오전 4시 30 분","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-18-4 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (130m)
JR Yamanote Line / Shinjuku Station에서 도보로 4 분 (250m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (250m)",없음,40 석,,없음,,"[공식적인]
https://cocochiken.foodre.jp/",,,"우리는 고기 요리, 수입 재료, 알레르기가있는 고객을 수용 할 수 있으며, 매운 메뉴를 가지고 있으며, 요리사가 유명한 레스토랑에서 훈련을 받았으며, 매장 내에서 준비했습니다.","맥주, 술, 와인, 칵테일",,"점심, 저녁 식사, 모든 링크, 연회 및 음주 파티, 고기, 연말 파티, 소녀 파티, 새해 파티, PayPay 지불 가능, 작별 파티, 환영 파티, 점심, 급여 판매점, 온라인 예약 가능
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",,,,예,03-6457-6454,"영어 한국
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001324892/archive/2911835-636e27ad14da8.jpg,,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/cocochicken_kabuki/,https://www.facebook.com/coco.bbq/,,없음,,"TV 및 모니터, 오디오 장비",,,,
卸 新宿食肉センター 極 本店,도매 신주쿠 고기 센터 Goku 메인 매장,https://retty.me/area/PRE13/ARE1/SUB101/100000716667/,050-5461-5118,야키니 쿠이자 카야,"[하루 종일]
 16:00-9:00 L.O. 8:30
*24 시간 표기법","하루 종일 개점
・ 새해 공휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 5,000 엔",예,PayPay,"1f G1 건물, 2-10-5 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 7 분 거리 (490m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보로 7 분 거리 (530m)
도쿄 메트로 후쿠토신 라인 / 히가시-신주쿠 역에서 도보로 7 분 거리 (540m)",,34 석,예,없음,,"[공식적인]
https://shokunikucenter-kiwami.foodre.jp/
https://www.post.co.jp/store/honten/",,,,,,"쌀, 저녁 식사, 첫 번째 열차, 사내 마감, 심야, 연말 파티, OK, OK, 연회 및 음주 파티, 결혼식, 후 그룹 날짜, 환영 파티, 작별 인사, 맛있는 식당 및 저렴한 식당, 급여 지불 포인트, 급여 지불 포인트 받기
다른 사용 장면을 참조하십시오",,,,,,,03-6380-2963,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000716667/archive/1827717-5f4ee47bb856e.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
麻辣火鍋専門店 越智,"Ochi, Mala Hot Pots를위한 전문점",https://retty.me/area/PRE13/ARE1/SUB102/100001701118/,050-5462-3434,Hotpot Izakaya 중국 요리,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일, 휴일 전 및 휴일 전]
 17:00-24:00 L.O. 23:00",매주 수요일,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2 층, 3-29-5 Yoyogi, Shibuya-Ku, 도쿄 -A
큰지도를보십시오","■ 스테이션에서 접근
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 8 분 (580m)
JR Yamanote Line / Shinjuku Station에서 도보로 11 분 (880m)
Odakyu Odawara Line / Sannomiyabashi Station 12 분 도보 (960m)",없음,"22 석
(임대 할 수 있습니다. 자세한 내용은 전화로 직접 문의하십시오.)",예,없음,예,"[공식적인]
https://maaraahinabeochi.foodre.jp/",,,,,사용 가능한 예약,"저녁 식사 전액-마두 인 연회 및 음주 당사자 지불금 지불 이용 가능한 연말 파티 새해 파티를받는 PayPay Points 온라인 예약 예약을위한 인기있는 상점 성인 새해 파티 크리스마스 2024 연말 파티 세련된 연말 파티
다른 사용 장면을 참조하십시오",,,,,,없음,03-5843-5385,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001701118/archive/3390645-66d2edea49701.jpeg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
神戸牛炭火焼肉 いく田 代々木,고베 쇠고기 숯 구이 야키 니쿠 이쿠타 요요 기,https://retty.me/area/PRE13/ARE1/SUB102/100001573854/,03-6304-2917,야키니쿠,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
점심도 열려 있습니다.
11 : 30-14 : 00 (주중 만)","불규칙한 휴일
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f Dai-Hōzan Building, 1-31-15 요요기, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yoyogi Station에서 도보 2 분 (130m)
도쿄 메트로 후쿠토신 라인 / 키타 산도 역에서 도보 6 분 (450m)
Odakyu Odawara Line / Minami Shinjuku 역에서 도보 6 분 (450m)",없음,"26 석
(개인 실은 별도로 청구됩니다. (4,400 엔, 최대 4 명, 6 명은 6,600 엔))))","예
(크고 편안하게 앉기.)","예
6 명",예,"[공식적인]
https://kobebeef-ikuta.foodre.jp/
https://www.ekm.tokyo",,,,,,"엔터테인먼트, 고기, 저녁 식사, 와인 음주, 생일, 연회, 파티, 파티, 지불금 지불 가능, 새해 파티, 점심 음주, 개인 실, 성인 연말 파티, 세련된, 성인 새해 파티, 온라인 예약, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001573854/archive/2334848-60826fbdb7b9.jpeg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/yakiniku_ikuta/,https://www.facebook.com/kobegyusumibiyakiniku.ikuta/,,,https://x.com/yakiniku_ikuta,,,,,
焼肉 にくの音,Yakiniku Niku 소리가 없습니다,https://retty.me/area/PRE13/ARE1/SUB101/100001448380/,050-5462-3810,야키니쿠,"[태양, 월요일부터 금요일, 토요일]
 17:00-28:00 L.O. 3:00",,"점심:-
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Kabukicho Shopping Street Promotion Association Association Building, 1-19-3 Kabukicho, Shinjuku-Ku, Tokyo의 8 층
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보로 3 분 거리 (210m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (370m)
JR Yamanote Line / Shinjuku 역에서 도보로 5 분 (380m)","예
근처 (할인 없음) 사용 가능","30 석
(완전히 개인 실)",,"예
두 사람을 위해
4 명
6 명
7 명 이상",예,https://www.akito-co.jp/sp/,,"8,000 엔 이상의 코스","우리는 고기 요리, 생산 공간, 유기농 야채 측면에서 특히 유명한 레스토랑에서 훈련을 받았으며 유명한 요리사가 요리하고 매장을 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"쌀, 저녁 식사, 개인 실, 데이트, 세련된 개인 실, 연말 파티, 고기, 소녀의 밤 외출, 결혼 기념일, 와인, 와인, 주차장, 어린이, 유기농 요리, 영어를 구사 가능한, 개인 공간과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
상단에 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성","예
아이들은 환영하고, 미취학 아동은 환영하고, 초등학생들은 환영하며, 알레르기 식품을 환영합니다.",불가능합니다,,예,03-6457-6782,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001448380/archive/2198165-600737b95e113.jpeg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/nikunone/,https://www.facebook.com/nikunoneyakiniku/,,,https://x.com/nikunone,,,,,
個室居酒屋 焼き鳥＆海鮮寿司食べ放題 旬香 新宿東口本店,개인 실 IZAKAYA YAKITORI & SEAFOOD SUSHI ALL-YOU-EAT SHUNKA SHINJUKU EAST EXIT MAIN STORE,https://retty.me/area/PRE13/ARE1/SUB101/100001258295/,050-5303-1342,이자카야 야키토리,"[하루 종일]
 13:30-29:00
영업 시간은 하루에 따라 다를 수 있습니다
송장을 사용할 수 있습니다. 우리는 당신의 예약을 기대합니다!",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",PayPay,"Chatelet Building 4F, 1-23-10 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (100m)
JR Yamanote Line / Shinjuku 역에서 도보로 3 분 거리 (230m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (240m)","없음
근처 (할인 없음) 사용 가능",300 석,예,"예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://shunka-shinjuku.foodre.jp/
https://shunka-shinjuku.owst.jp/","PayPay 및 Alipay를 사용할 수 있습니다! !
*당일에만 좌석의 취소는 1 인당 1,500 엔으로 청구됩니다.","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.",고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"고기, 개인 실, 저녁 식사, 쌀, 그룹 날짜, 음주, 늦은 밤, 연회, 파티, 마시는 파티, 모든 당신이 먹고, 냉담한, 세련된 개인 객실, 솔로 손님, 엔터테인먼트, 작별 파티, 음료 술, 첫 번째 열차, 파워 카페, 슈퍼 매운, 후 파티까지 열립니다.
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다","불가능합니다
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,,예,080-6243-2141,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001258295/archive/3420940-6709467b5f39c.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"2,999 엔 미만의 5,000 엔 이상의 싱글 링크 가격, 3,000 엔, 3,999 엔, 5,000 엔 또는 그 이상, 2 시간 동안 전세계 점점, 3 시간 또는 더 많은 링크를 위해 3,000 엔 링킹",없음,,TV 및 모니터 사용 가능,,,,
スペアリブハウス ハウディ 代々木店,스페어 리브 하우스 Howdy Yoyogi 상점,https://retty.me/area/PRE13/ARE1/SUB102/100001562771/,050-5462-0964,햄버거,"[하루 종일]
점심 11 : 30-15 : 00 L.O. 14:00
[Sun, 월요일부터 목요일, 토요일 및 휴일]
저녁 식사 17:00-22:00 L.O. 21:00
[금]
저녁 식사 17:00-23:00 L.O. 22:00",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",예,PayPay,"RES Yoyogi Building B1, 1-18-16 Yoyogi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yoyogi Station에서 도보로 3 분 (210m)
도쿄 메트로 후쿠토신 라인 / 키타 산도 역에서 도보 5 분 (400m)
Odakyu Odawara Line / Minami Shinjuku 역에서 도보로 7 분 (490m)","예
근처 (할인 없음) 사용 가능",,,,,"[공식적인]
https://supearibuhouse-haudi.foodre.jp/
https://www.spareribshouse-howdy.com/sp/",・ 신용 카드가 허용됩니다,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","우리는 고기 요리, 매우 매운 메뉴, 요리사가 해외에서 훈련했으며 요리사가 유명한 식당에서 훈련했으며 요리사가 매장에서 훈련했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"쌀 점심 지불 온라인 예약 가능 크리스마스 저녁 식사 저녁 식사 인기있는 식당 예약 새해 파티 요리 연말 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
조용한 가게
차분한 분위기
숨는 곳
테라스가 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능","불가능합니다
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,예 (무료),예,03-6276-3129,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001562771/archive/3524647-67B326E57D341.jpeg,,"흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 All-You-Can-Drink, 4,000-4,999 엔 All-You-Can-Drink 코스에는 1 시간 동안, 2 시간 동안 All-You-Can-Drink를위한 All-You-Can-Drink가 포함되어 있습니다.",,,"TV 및 모니터, 오디오 장비, 휴대품 회의실",,,,
全席個室 めしや 伊まる 新宿駅前店,모든 좌석 개인 실 메시 야 이마루 신주쿠 스테이션 매장,https://retty.me/area/PRE13/ARE1/SUB106/100001735952/,050-5462-5314,이자카야,"[하루 종일]
저녁 식사 16 : 00-23 : 30 L.O. 22:30
폐쇄 : 없음
[전화 문의 시간] 11 : 00-23 : 00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2 층, Plaza Nishi-Shinjuku, 7-5-5 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보로 3 분 거리 (230m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (250m)
Jr Chuo / Sobu Line / Okubo (도쿄) 역에서 도보 6 분 (410m)","없음
근처 (할인 없음) 사용 가능","84 석
(좌석/테이블 시트/소파 좌석 ≫ 우리는 또한 개인 실을 사용할 수 있습니다. 언제든지 문의하십시오. 개인 객실은 2 명 이상으로 수용 할 수 있습니다. 문이있는 전적으로 개인 실입니다.)",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
최대 83 명을 임대 할 수 있습니다",https://meshiya-imaru.foodre.jp/,"전자 돈 : 이용할 수 없습니다
QR 코드 결제 : PayPay 지불 가능",,,,사용 가능한 예약,"개인 객실 ALL-YOU-CAN-DRINK 성인 은신처 흡연 허용 페이 페이 지불 이용 가능 PayPay Point 온라인 예약 가능 인기있는 상점 예약 세련된 성인 새해 파티 빠른 새해 파티 빠른 올해 파티 빠른 해의 파티
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",예,,,예,03-6636-5938,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001735952/archive/3300375-66304efcb33e3.jpg,,"예
완전히 흡연이 허용됩니다
(모든 좌석은 완전히 비공개이므로 흡연자와 그렇지 않은 사람들에게 편안합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선",,,,,,,
エイジング・ビーフ TOKYO,노화 쇠고기 도쿄,https://retty.me/area/PRE13/ARE1/SUB104/100001247743/,050-5304-1624,"야키 니쿠, 노화 된 고기, 서양 음식","[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
점심 11:30-16:00 L.O. 15:30
저녁 식사 16:00-23:00 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
[2 월의 정기 마감일에 관한 통지]
불편을 드려 죄송하지만 2 월의 정규 휴가는 평범한 두 번째 월요일이 아니라 2 월 12 일 수요일에 문을 닫습니다.
이해해 주셔서 감사합니다.
우리는 2 월 10 일 월요일에 평소와 같이 개방 될 것이므로 귀하의 방문을 기대합니다!",매월 두 번째 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6F Rainbow Village, 3-5-4 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (71m)
JR Yamanote Line / Shinjuku 역에서 도보로 8 분 (570m)
도쿄 메트로 마루치 노 라인 / 신주쿠 기 얀마 스테이션에서 도보로 9 분 거리 (670m)",예,174 석,"예
(상점 밖에서 이용 가능한 흡연 구역)","예
4 명
6 명
7 명 이상",불가능합니다,,,,,,,"데이트 점심 개인 방 마시는 점심 흡연 허용 저녁 식사 개인 실
다른 사용 장면을 참조하십시오",,,,,,예,03-6273-2985,영어 중국어,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001247743/cover/21991-56AA128DBF840.JPG,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Sugoca, Nanaco, Rakuten Edy, Waon","연기 분리
흡연실 사용 가능
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
洞窟個室ダイニング THE CAVE 新宿総本店,동굴 개인 식당 동굴 신주쿠 메인 매장,https://retty.me/area/PRE13/ARE1/SUB101/100001298268/,050-5262-5778,이자카야 이탈리아 바,"[하루 종일]
 11:00-29:00 L.O. 28:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Hayashi Building 4F, 1-14-7 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보로 3 분 거리 (210m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (250m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (260m)","없음
이웃 P (할인) 사용 가능",240 석,없음,"예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://thecave-shinjuku.foodre.jp/",PayPay 및 Alipay를 사용할 수 있습니다! !,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"늦은 밤 점심 식사 흡연 허용 점심 음료 런치 드링
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.","예
상점에서 구입할 수 있습니다",예 (무료),예,080-7177-9549,"영어 힌디어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001298268/archive/262711-620a26b18d39d.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"999 엔 미만의 모든 금액 가격, 1000-1999 엔 미만의 모든 링크 가격은 2999 엔 아래에 포함될 수 있으며, 전 All-You-Can-Drink 코스는 3000-3999 엔에 포함시킬 수 있습니다. 5000 엔 이상, 1 시간 반 동안 싱글 링크를 포함 할 수 있습니다. 2 시간 동안 2 시간 반 동안 모두 당신을 다루고, 2 시간 반 동안, 3 시간 반 동안, 3 시간 반 동안 싱글 링크를 3 시간 반 동안 링크하는 것.",,,"가라오케, 프로젝터, TV 및 모니터, 오디오 장비",,,,
