식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,요리 기능과 전문 분야,사용 장면,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,사적인,인스 타 그램,당신이 마실 수있는 모든 것,예약,서비스,강의,대기,마시는 기능과 세부 사항에 대한 관심,드레스 코드,발언,페이스 북,X (트위터),추가 장비,IC 카드 지불,맥주 제작자,인근 시설,key_1_営業時間,key_1_予算,key_1_クレジットカード,key_1_QRコード決済,key_1_ICカード決済,key_1_住所,key_1_アクセス,key_1_駐車場,key_1_座席,key_1_カウンター席,key_1_喫煙,key_1_個室,key_1_貸切,key_1_Instagram,key_1_Facebook,key_1_X(Twitter),key_1_備考,key_1_コース,key_1_飲み放題,key_1_料理の特徴・こだわり,key_1_ドリンクの特徴、こだわり,key_1_予約,key_1_利用シーン,key_1_雰囲気,key_1_サービス,key_1_ドレスコード,key_1_お子様連れ入店,key_1_ペット,key_1_電源利用,key_1_Wi-Fi利用,key_1_image,key_2_TEL,key_2_ジャンル,key_2_営業時間,key_2_定休日,key_2_予算,key_2_クレジットカード,key_2_住所,key_2_アクセス,key_2_カウンター席,key_2_個室,key_2_利用シーン
新潟・佐渡の旬と地酒 のど黒のあくび 上野御徒町,"Sado, Niigata, Kurono-No-Ko Yawn Ueno Okachimachi의 계절 및 현지인",https://retty.me/area/PRE13/ARE9/SUB901/100001615634/,050-5462-2018,이자카야,"[하루 종일]
 11:30-14:30
 17:00-23:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Okachimachi Grandia Building, 5-25-8 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 (46m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 1 분 거리 (47m)
도쿄 메트로 Hibiya 라인 / 나카 오카 카이 마치 스테이션 1 분 도보 (66m)",없음,90 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://nodoguronoakubi.foodre.jp/
https://nodoguro-no-akubi.com/",생선 요리 전문,"점심, 점심, 음주, 개인 실, 저녁 식사, 엔터테인먼트, 식사, 개인 실, 쿠폰 이용 가능, 이용 가능, 신년 파티, 웰컴 파티, 성인 연말 파티, Quick-End Party, All-You-Can-Drink, 성인 새해 파티, 세련된, 성인 날짜
다른 사용 장면을 참조하십시오",예,불가능합니다,,예,03-6284-4393,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001615634/archive/3453963-67372998d0690.png,불가능합니다,https://www.instagram.com/nodoguronoakubi/,,사용 가능한 예약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月島もんじゃ三九上野2号店,Tsukishima Monja Sanku Ueno 2nd 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001757985/,050-5462-6868,Monjayaki Izakaya Okonomiyaki 해산물 및 해산물,"[하루 종일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6-8-11-1f Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 2 분 거리 (140m)
Keisei Main Line / Keisei Ueno 역에서 도보 3 분 (220m)
도쿄 메트로 긴자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (230m)",없음,300 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://sankyu-2.foodre.jp/",,"쌀, 저녁 식사, 음주, 점심, 고기, 지불금 지불 이용 가능, 연말 파티, 새해 파티, Paypay Points, 온라인 예약 가능, 작별 파티, 환영 파티, 인기있는 식당 예약
다른 사용 장면을 참조하십시오",예,불가능합니다,,예,03-5834-4822,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001757985/archive/3431495-6718B5A30A1FB.JPG,예,,,사용 가능한 예약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最強焼肉 カスミ 上野店,최고의 Yakiniku Kasumi Ueno 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001547409/,050-5462-6261,야키니쿠 이자카야 쇠고기 혀,"[태양, 월요일부터 목요일까지]
 16:00-1:00 L.O. 24:00
[금요일, 토요일, 휴일 전]
 16:00-5:00 L.O. 4:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 6,000 엔",Amex,PayPay,"2-8-4 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (120m)
도쿄 메트로 긴자 라인 / Ueno Hirokoji Station에서 도보 2 분 (120m)
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (150m)",예,46 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://kasumi.foodre.jp/",,"저녁 식사, 식사, 날짜, 연회 및 음주 파티, 엔터테인먼트, 고기, 고기, 주간 음주, 지불금 지불 가능, 첫 번째 기차까지 열리고, 늦은 밤에 문을 열 때, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 음료수, 연기, 무료 와이파이, 음료 Shochu
다른 사용 장면을 참조하십시오",,,,예,03-5846-8393,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001547409/archive/1774701-5f1e6eb944681.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炭焼やきとん酒場 TONTON 上野店,숯 야키 톤 사카 바 폰톤 우에노 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001674004/,050-5462-1136,이자카야 야키토리 호르몬 한국 요리,"[하루 종일]
 0:00-24:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1 층, 6-13-7 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 2 분 거리 (87m)
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (140m)
도쿄 메트로 긴자 라인 / Ueno Hirokoji Station에서 도보로 4 분 거리 (320m)",없음,"180 석
(개인 객실 이용 가능! 흡연 좌석 이용 가능!)",예,"연기 분리
완전히 흡연이 허용됩니다
(2022 년 10 월 업데이트 \\ 흡연은 좌석에서 이용 가능 //)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","[공식적인]
https://tonton.foodre.jp/",고기 요리 전문,"첫 번째 열차, 흡연 허용, 점심, 생일, 고기, 저녁 식사, 개인 실, 점심, 저녁 식사, 저녁 식사, 저녁 식사, 싱글, 싱글, 늦은 밤에 오픈, 연말 파티, 새해 파티, 급여 판매 포인트, 온라인 예약 가능, 인기있는 상점까지 문을 엽니 다.
다른 사용 장면을 참조하십시오",,,,예,03-5846-8031,중국인,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001674004/archive/3580620-67fb686842828.jpg,예,,"전 만점 가격 : 1,000 엔 -1,999 엔",사용 가능한 예약,,"2,999 엔 미만의 코스","개방성이 있습니다
활발한 상점
골목을 향합니다","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個室呑処～華～hana,개인 실 마시는 장소 ~ 하나 ~ 하나,https://retty.me/area/PRE13/ARE9/SUB901/100001508906/,050-5462-1185,이자카야 일본 요리 일본 요리 해산물 및 해산물 요리,"[월요일부터 금요일까지]
 17:00-27:00 L.O. 26:00
[토양]
 17:00-23:00 L.O. 22:00","매주 일요일
새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"2f, 6-8-5 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (140m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (140m)
JR Yamanote Line / Okachimachi Station 3 분 도보 (190m)",없음,21 석,"예
(5 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
7 명 이상","[공식적인]
https://hana.foodre.jp/
https://hana-ueno.com/","우리는 야채 요리, 생선 요리, 매장 내에서 준비된 것입니다.","저녁 식사 개인 객실을 이용할 수있는 싱글 룸 엔터테인먼트 지불 페이 지불 이용 가능한 연말 파티 파티 작별 파티 환영 파티 성인 날짜 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,없음,03-6806-0480,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001508906/archive/1205693-5db05728b30cf.jpg,예,https://www.instagram.com/hana_ueno_official/,,사용 가능한 예약,,"7,000 엔에서 7,999 엔으로 제공됩니다",,"맥주, 사케, 쇼치, 와인, 위스키",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Auditorium - Tokyo Ueno Bar,강당 - 도쿄 우에노 바,https://retty.me/area/PRE13/ARE9/SUB901/100001687747/,050-5462-2211,술집,"[월요일부터 금요일까지, 휴일]
 17:00-23:00
[태양/토요일]
 15:00-23:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.",새해 연말 연시,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1F, Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 1 분 (69m)
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (520m)
Keisei Main Line / Keisei Ueno 역에서 도보 8 분 (600m)",없음,20 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://bar-auditorium.foodre.jp/
https://bar-auditorium.tokyo/",,한 사람 OK 흡연 허용 저녁 식사 지불 가능한 급여표 포인트가 온라인 예약 가능,,,예 (무료),예,03-6284-7700,영어,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001687747/archive/2941205-639be1416ccd3.jpeg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
최대 25 명까지 임대 할 수 있습니다",https://www.instagram.com/bar_auditorium_tokyo/,,사용 가능한 예약,,,"개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
골목을 향합니다","맥주, 와인, 위스키, 칵테일",평상복,,https://www.facebook.com/profile.php?id=100086605580347,,"프로젝터, TV 및 모니터, 오디오 장비",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海鮮個室居酒屋 佐渡島へ渡れ 上野店,Sado Island Ueno 지점에서 해산물 개인 Izakaya,https://retty.me/area/PRE13/ARE9/SUB901/100001253796/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鮓 幹,아라 타 트렁크,https://retty.me/area/PRE13/ARE9/SUB901/100001736797/,050-5462-5346,초밥 해산물과 해산물 일본 음식,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일 및 공휴일]
저녁 식사 17 : 30-23 : 30
두 부분으로 구성된 시스템 (17:30, 20:30부터)",매월 두 번째 화요일 매월 넷째 화요일마다 수요일마다,"점심 : 비즈니스 시간
저녁 식사 : ~ 20,000 엔",예,,"3-36-12 Yushima, Bunkyo-Ku, 도쿄, 잡지 Yushima Ueno Hirokoji, 2 층
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 1 분 (72m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 4 분 거리 (260m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 4 분 거리 (260m)",없음,8 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://yushima-sushi-yoshi.foodre.jp/",,"저녁 식사, 엔터테인먼트, 싱글, 식사, 연회 및 음료, 금연, 연말 파티, Paypay Points, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,없음,070-9016-2323,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001736797/archive/3400185-66e28ebc57531.jpg,,https://www.instagram.com/yushima_sushi_yoshi/,,사용 가능한 예약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛タン専門店 タン治郎,"Tanjiro, 쇠고기 혀 전문점",https://retty.me/area/PRE13/ARE9/SUB901/100001611009/,050-5462-6505,이자카야 쇠고기 혀,"[월요일부터 목요일, 휴일]
저녁 식사 17:00-24:00 L.O. 23:00
[금요일/휴가 전]
저녁 식사 17:00-5:00 L.O. 4:00
[토양]
 12:00-5:00 L.O. 4:00
[낮]
 12:00-24:00 L.O. 23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6-13-5 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 2 분 (120m)
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (140m)
도쿄 메트로 진 자 라인 / 우에노 히로코지 스테이션 4 분 (290m)","없음
이웃 P (할인) 사용 가능","200 석
(우리는 또한 바닥에서 예약을 수락하고 있습니다.",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,고기 요리 전문,"all-you-can-drink 연회 및 음주 파티 점심 마시는 개인 방 흡연 허용 고기와 쌀 늦은 밤 오픈 쿠폰 이용 가능 급여 지불 지불 연말 파티 새해 파티 디너 페이 포인트 온라인 예약 가능 인기 상점 캐주얼
다른 사용 장면을 참조하십시오",불가능합니다,,,,03-6284-4404,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001611009/archive/2697909-62748ee9c30aa.jpeg,"예
최대 200 명을 임대 할 수 있습니다",,"2,999 엔 미만의 싱글 링크, 3,000 ~ 3,999 엔을위한 싱글 링크, 4,000 ~ 4,999 엔을 포함하는 코스, 5,000 엔 또는 그 이상을 포함한 코스를 포함하는 코스, 그리고 2 시간 동안의 코스가 포함 된 코스가 포함 된 코스가 있습니다.",사용 가능한 예약,축하 가능성,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스",차분한 분위기,"맥주, 사케, 쇼치, 와인, 칵테일",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粤港美食 上野店,Yueko Port Gourmet Ueno Branch,https://retty.me/area/PRE13/ARE9/SUB901/100001686670/,050-5462-8180,중국 요리 이자카야 딤섬 딤섬,"[하루 종일]
 11:30-22:00 L.O. 21:30",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, Dreamers Mitomi Building, 4-4-5 Ueno, Taito-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 (25m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 1 분 거리 (26m)
JR Yamanote Line / Okachimachi Station 3 분 도보 (170m)",없음,50 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://cantondishes-ueno.foodre.jp/,,"점심, 저녁, 쌀, 단일, 급여 지불 지불 가능 온라인 예약 가능",,,,예,03-5846-8078,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001686670/archive/357572-67f53f9391258.jpg,불가능합니다,,,사용 가능한 예약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
焼き鳥と海鮮 あかり 上野店,야키토리와 해산물 아카리 우에노 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001732921/,050-3098-0073,이자카야 야키토리 해산물과 해산물,"[하루 종일]
 12:00-24:00 L.O. 23:00
비즈니스 시간 이외의 점심 연회를 위해 저희에게 연락하십시오.
요리 L.O.23 : 00 음료 L.O.23 : 30",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6F, Ueno 2-12-23, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (85m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (160m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (160m)","없음
근처 (할인 없음) 사용 가능",100 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://akari-ueno.foodre.jp/",,"점심, 개인 실, 저녁 식사, 점심, 소녀 파티, 흡연 허용, 고기, 고기, 연회 및 음주 파티, 개인 지불 가능, PayPay 지불 가능, 연말 파티, 새해 파티, All-You-Can-Eat, All-You-Can-Drink, Farewell Party, 인기있는 식당, 캐주얼
다른 사용 장면을 참조하십시오",,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001732921/archive/3378228-66b8b7a6b0acd.jpg,예,,,사용 가능한 예약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上野牛魔王牛肉ラーメン,ueno gyu maou 쇠고기라면,https://retty.me/area/PRE13/ARE9/SUB901/100001697395/,050-5462-4093,이자카야 테이크 아웃라면,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 11:00-30:00
[낮]
 11:00-23:00
일요일 오후 11 시까 지
월요일부터 토요일 오전 6시에 문을 엽니 다",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"오크 빌딩 B1F, 4-8-9 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keisei Main Line / Keisei Ueno 역에서 도보로 1 분 (80m)
JR Yamanote Line / Ueno 역에서 도보 2 분 (160m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (170m)",예,32 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://gyumaou.foodre.jp/","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 유기농 야채, 매우 매운 메뉴, 요리사가 해외에서 훈련을 받고, 요리사는 유명한 식당에서 훈련을 받고, 유명한 레스토랑에서 훈련을 받고, 요리사가 준비하고, 셰프가 준비되었고, 흉터 내에 준비되었습니다.","점심, 쌀, 저녁 식사, 솔로, 급여 지불 지불, 급여표 포인트, 온라인 예약 가능, 새해 파티, 개인 실, 작별 파티, 환영 파티, 점심 음주, 인기있는 식당 예약
다른 사용 장면을 참조하십시오",예,불가능합니다,,예,03-5817-8327,"영어 중국어 한국
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001697395/archive/3155738-6516189da1f59.jpg,예,,,사용 가능한 예약,"테이크 아웃 가능성
배송 가능",,"활발한 상점
차분한 분위기
숨는 곳
골목을 향합니다","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",평상복,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓国料理 トンマッコル 上野店,한국 요리 Tonmakol Ueno 지점,https://retty.me/area/PRE13/ARE9/SUB901/100000785279/,050-5303-8076,한국 음식 samgyeopsal,"[월요일부터 금요일까지]
저녁 식사 16 : 30-23 : 00 L.O. 22:30
[태양, 토요일, 휴일]
 11:50-23:00 L.O. 22:30","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"6-16-7-2f Ueno, Taito-Ku, 도쿄 D-B Ueno 2
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno Station (Hirokoji 출구) 1 분 도보 (49m)
Keisei Main Line / Keisei Ueno 역 (프론트 출구) 도보 3 분 (230m)
도쿄 메트로 진 자 라인 / 우에노 스테이션 (5A) 도보 1 분 (99m)
Toei Oedo Line/Ueno Okachimachi Station (A7) 도보 4 분 (350m)

■ 버스 정류장에서 접근
Konan Bus Sky, Ueno 역에서 도보로 1 분 (39m)
JR 버스 칸토 츠쿠바 우에노 스테이션 2 분 (110m)
나리타 공항 교통 수송 유라쿠코 버스 치비 새 타운 라인 Ueno Park Yamashita 도보 4 분 (260m)","없음
근처 (할인 없음) 사용 가능",60 석,,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","[공식적인]
https://tonmakkori-ueno.foodre.jp/",우리는 야채 요리와 고기 요리에 대해 특별합니다,"소녀의 밤, 개인 객실, 고기, 점심 시간 음주, 모든 음식, 냉기, 아이들과 함께 즐기기, 예약, 생일, 데이트, 쿠폰 이용 가능, 점심 날짜, 온라인 예약, 연말 파티, 새해 파티, 밥, 캐주얼, 신선한 새해 파티
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,예 (무료),예,03-3831-6699,한국인,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000785279/archive/1029748-5d37a4a89039b.jpg,"예
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,"전적으로 마감하는 가격 : 1,000-1,999 엔, 3,000-3,999 엔 all-you-can-drink 코스는 1 시간 반 정도 마감, 2 시간 반 마감, 2 시간 반 마감, 2 시간, 3 시간 이상",사용 가능한 예약,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.",상업용 시설에 위치합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,,,,TV 및 모니터 사용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食べ放題 飲み放題 個室居酒屋 京 アメ横店,당신이 온전한 곳에 흠뻑 젖은 개인 실 Izakaya Kyo Ameyoko 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001646700/,050-5304-6921,이자카야 야키토리 스시,"[하루 종일]
 11:00-24:00 L.O. 23:30
영업 시간은 하루에 따라 다를 수 있습니다
*금요일, 토요일 및 공휴일에는 좌석이 2 시간 동안 열려 있습니다.
*좌석 수수료 : 오픈 좌석 : 1 인당 330 엔/1 인당 550 엔.",일년 내내 열립니다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6F, 신토 노다 빌딩, 6-13-9 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 1 분 (66m)
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (160m)
도쿄 메트로 긴자 라인 / Ueno Hirokoji Station에서 도보로 4 분 거리 (320m)",없음,70 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","[공식적인]
https://miyakoameyoko.foodre.jp/",우리는 야채 요리와 고기 요리에 대해 특별합니다,"개인 실, 주간 음주, 흡연 허용, 점심, 성인 은신처, 급여 지불 지불 수락, 급여 지불 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 전, 온전한, 온라인 파티, 전부-흠, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",예,불가능합니다,예 (무료),예,080-4745-0202,영어 중국어,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001646700/archive/273063-6296fcadbb79c.jpg,,,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 싱글 링크",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","풍경은 아름답습니다
차분한 분위기","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",,,,,사운드 장비 사용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
