식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자,온라인 예약
BAR KIZUKI,바 키즈키,https://retty.me/area/PRE13/ARE8/SUB805/100001282300/,03-6434-1309,바 펍 라운지,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 19:00-4:00","매주 일요일
새해 연말 연시","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Gloria Miyamasuzaka 10f, 1-8-5 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (320m)
도쿄 메트로 진 자 라인 / 오모 테산도 (770m)에서 도보로 10 분",예,"45 석
(8 개의 카운터 좌석, 7 개의 반 개인 객실, 16 개의 테이블, 2 개의 다트 좌석, 10 개의 개인 실)",예,"예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",https://kizuki.bar/,*우리 웹 사이트를 통해 쇼에 예약하십시오!,,,,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"싱글 손님을위한 개인 실
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
나이트 뷰를 볼 수 있습니다
숨는 곳",,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001282300/archive/1315582-5de48438724d4.jpg,,,https://www.facebook.com/bar.kizuki/,https://x.com/bar_kizuki,노래방과 다트,,,,,
肉バル GABURI 渋谷駅前店,고기 바 가부리 시부야 에키 마 (Ekimae) 지점,https://retty.me/area/PRE13/ARE8/SUB802/100001255750/,03-6416-5176,바 이자카야 야키니 쿠 식당,"[하루 종일]
 17:00-24:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔",예,,"Koyasu Building 3F, 13-7 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (160m)",,110 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"개인 객실, 싱글, 크리스마스 저녁 식사, 저녁 식사, 쌀, 고기, 비영리, 개인 객실, 성인 연말 파티, 요리, 연말 파티, 새해 파티, 요리, 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/6925214.jpg,,,,,,,,,,
ザ・レギャン・トーキョー,레지리아 도쿄,https://retty.me/area/PRE13/ARE8/SUB805/100000704317/,0120-181-428,프랑스 바베큐 바 스테이크,"[하루 종일]
점심 11 : 30-16 : 00
저녁 식사 17:30-23:00
*저녁 식사 시간에 대한 개인 예약이있는 경우 점심 시간은 오후 3시에 마감됩니다.",하루 종일 개점,"점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",PayPay,"코코티 빌딩 1-23-16 시부야, 시부야-쿠, 도쿄 12F (최상층)
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (49m)",,40 석,예,"불가능합니다
(테라스가있는 개인 실에서는 흡연이 가능합니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명",,https://www.legian.jp/,,,,,,,"점심, 데이트, 여자의 밤, 결혼 기념일, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글, 엔터테인먼트, 성인 은신처, 아름다운 야간보기, 작별 파티, 환영 파티, 연말 파티, 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36163411.jpg,,,,,,,,,,
個室居酒屋 鳥一 渋谷店,개인 실 Izakaya Toriichi Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB802/100001696451/,03-6635-1876,이자카야 고기 바,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-24:00
[태양, 토요일, 휴일]
저녁 식사 16:00-24:00",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"31-9 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)",예,70 석,예,"연기 분리
(흡연 분리 (흡연 분리는 개인 실에서 이용할 수 있습니다. 언제든지 문의하십시오.) *건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,"5%/금요일, 토요일, 주말 전일 주말 500 엔/쿠폰 카드를 사용할 수 없습니다.",,,,,사용 가능한 예약,"전가 먹는 데이트 데이트 소녀 파티 모든 당신이 흠뻑 젖은 그룹 데이트 데이트 사유실 마시기 포도주 저녁 식사 쌀 흡연 허용 생일 개인 방 날짜 all-can-eat 세련된 개인 실 개인 실 개인 실 개인 실 개인 실 개인 실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001696451/archive/305375-6461cadbd0982.jpg,,,,,,,,,,
松木家,마츠키 가족,https://retty.me/area/PRE13/ARE8/SUB806/100000007960/,03-3461-2651,테이크 아웃 스키 야키,"[월요일부터 금요일과 토요일]
점심 12:00-15:00
저녁 식사 17:00-22:00 L.O. 21:00
영업 시간은 저녁 식사마다 다를 수 있습니다.
이해 해주셔서 감사합니다.",매주 일요일과 공휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Matsugiya 건물 1f, 6-8 Maruyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (110m)
JR Yamanote Line / Shibuya Station에서 도보로 6 분 (420m)",없음,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"점심, 데이트, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 마시는 와인, 세련된, 저녁, 쌀, 비영리, 개인 방, 점심
다른 사용 장면을 참조하십시오",,,,,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000007960/archive/1690396-5ecf202a27279.jpg,,,,,,,,,,
リコピン モンスーンバル,Lycopene Monsoonbal,https://retty.me/area/PRE13/ARE8/SUB805/100001296788/,03-6380-5448,미트 바 인디언 카레 churasco,"[하루 종일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-24:00 L.O. 23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,,"3f Sato Estate Building, 3-18-5 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 거리 (46m)","없음
근처 (할인 없음) 사용 가능",70 석,없음,"불가능합니다
흡연실 사용 가능
(모든 좌석은 금연, 흡연 부스를 사용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 60 명
최대 90 명까지 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 식사) 90 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명",,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, 3,000-3,999 엔, All-You-Can-Drink 코스에는 4,000-4,999 엔, All-You-Can-Drink를위한 All-You-Can-Drink가 포함되어 있습니다. 2 시간 동안, 당신은 3 시간 이상 동안 당신을 살짝 링크합니다","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 요리사가 해외에서 훈련하고 매장 내에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"점심 모든 당신이 먹는 것만 큼 마시는 연회/음료 파티 솔로 작별 파티에 이용할 수있는 개인 방 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 주차를 마시십시오.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,예 (무료),예,"영어 중국어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001296788/archive/2429503-60eff95148657.jpg,,,,,"프로젝터, TV 및 모니터, 오디오 장비",,,,,
個室居酒屋 鳥一 渋谷店,개인 실 Izakaya Toriichi Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB802/100001696451/,03-6635-1876,이자카야 고기 바,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-24:00
[태양, 토요일, 휴일]
저녁 식사 16:00-24:00",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"31-9 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)",예,70 석,예,"연기 분리
(흡연 분리 (흡연 분리는 개인 실에서 이용할 수 있습니다. 언제든지 문의하십시오.) *건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,"5%/금요일, 토요일, 주말 전일 주말 500 엔/쿠폰 카드를 사용할 수 없습니다.",,,,,사용 가능한 예약,"전가 먹는 데이트 데이트 소녀 파티 모든 당신이 흠뻑 젖은 그룹 데이트 데이트 사유실 마시기 포도주 저녁 식사 쌀 흡연 허용 생일 개인 방 날짜 all-can-eat 세련된 개인 실 개인 실 개인 실 개인 실 개인 실 개인 실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001696451/archive/305375-6461cadbd0982.jpg,,,,,,,,,,
個室居酒屋 鳥一 渋谷店,개인 실 Izakaya Toriichi Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB802/100001696451/,03-6635-1876,이자카야 고기 바,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-24:00
[태양, 토요일, 휴일]
저녁 식사 16:00-24:00",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"31-9 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (210m)",예,70 석,예,"연기 분리
(흡연 분리 (흡연 분리는 개인 실에서 이용할 수 있습니다. 언제든지 문의하십시오.) *건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,"5%/금요일, 토요일, 주말 전일 주말 500 엔/쿠폰 카드를 사용할 수 없습니다.",,,,,사용 가능한 예약,"전가 먹는 데이트 데이트 소녀 파티 모든 당신이 흠뻑 젖은 그룹 데이트 데이트 사유실 마시기 포도주 저녁 식사 쌀 흡연 허용 생일 개인 방 날짜 all-can-eat 세련된 개인 실 개인 실 개인 실 개인 실 개인 실 개인 실
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001696451/archive/305375-6461cadbd0982.jpg,,,,,,,,,,
LUXURY BAR＆KARAOKE PALACE パレス渋谷店,럭셔리 바 & 가라오크 궁전 시부야 지점,https://retty.me/area/PRE13/ARE8/SUB805/100001568034/,03-6427-1250,술집,"[하루 종일]
 14:00-29:00 L.O. 28:30",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shibuya Park Side Joint Building 4F, 1-25-6 Shibuya, Shibuya-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (71m)",없음,"70 석
(우리는 다양한 좌석이 있습니다. 카운터 좌석 10 좌석, 소파 좌석 8 명 x 2 좌석, 2 ~ 6 명을위한 개인 실, 4 ~ 12 명을위한 개인 실, 6 ~ 16 명을위한 개인 실, 8-20 명을위한 개인 실)","예
(우리는 독신 사람들에게도 넓은 용도로 10 개의 카운터 좌석이 있습니다.)","예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(흡연의 경우 흡연, 가열 담배는 제한되어 있습니다. 모든 IQOS 좌석은 이용 가능하며 흡연 구역은 상점 밖에서 이용 가능합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
최대 150 명이 예약 할 수 있습니다 (독점 식사)","https://palace-bar-lounge.com/
https://eventsearch.jp/facility/palace-luxury-karaoke-bar",,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크","알레르기, 매우 매운 메뉴를 가진 고객에게 수용 할 수 있으며, 요리사는 유명한 식당에서 훈련을 받았으며 유명한 요리사가 요리했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"여자 야간 파티 all-you-can-drink group 날짜 결혼식 기념일 개인 객실 OK 싱글 사람들을 위해 OK 아름다운 야간보기 와인을 마시는 가라오케 시설을 즐기십시오.
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳
상단에 있습니다","놀라운 응답 가능
축하 가능성",,,불가능합니다,예 (무료),예,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001568034/archive/2396218-60c50b1df1154.jpg,,,,,"가라오케, TV 및 모니터, 오디오 장비, 다트, 놀이",https://www.instagram.com/palace_bar_lounge/,,,,
松木家,마츠키 가족,https://retty.me/area/PRE13/ARE8/SUB806/100000007960/,03-3461-2651,테이크 아웃 스키 야키,"[월요일부터 금요일과 토요일]
점심 12:00-15:00
저녁 식사 17:00-22:00 L.O. 21:00
영업 시간은 저녁 식사마다 다를 수 있습니다.
이해 해주셔서 감사합니다.",매주 일요일과 공휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Matsugiya 건물 1f, 6-8 Maruyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (110m)
JR Yamanote Line / Shibuya Station에서 도보로 6 분 (420m)",없음,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"점심, 데이트, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 마시는 와인, 세련된, 저녁, 쌀, 비영리, 개인 방, 점심
다른 사용 장면을 참조하십시오",,,,,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000007960/archive/1690396-5ecf202a27279.jpg,,,,,,,,,,
VINO,싸구려 이탈리아 적 포도주,https://retty.me/area/PRE13/ARE8/SUB805/100000005722/,03-3409-9575,이탈리아 요리 이자카야 식당 바 파스타 피자 이탈리아 바,"[월요일부터 금요일까지]
점심 12:00-15:00
[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17 : 30-23 : 30","매주 일요일
*예약에서만 열립니다. 자세한 내용은 상점에 문의하십시오.
*3 일간의 휴일에는 마지막 날이 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
Amex",,"1f, Shoei Building, 1-11-3 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (250m)",없음,"50 석
(소파 좌석, 테라스 및 야외 좌석 이용 가능, 라운드 테이블 이용 가능)",없음,"불가능합니다
(흡연은 개인 일 때만 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 53 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, All-You-Can-Drink 코스는 2,999 엔 미만으로 구매할 수 있으며, All-You-Can-Drink 코스는 3,000 엔 -3,999 엔, 3,999 엔, 4,000 세 미만의 구매할 수 있습니다. 5,000 엔 이상 구매","우리는 야채 요리, 고기 요리, 생산 재료, 주인 요리사와 식당의 준비에 대해 특히","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 사라진 연회와 술 파티 싱글 싱글 싱글 파티를 환영 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 아이들과 함께 와인을 즐겁게하는 세련된 개인 공간 저녁 식사
다른 사용 장면을 참조하십시오","조용한 가게
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능",평상복,"예
초등학생들은 환영합니다",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000005722/archive/1681793-5ec635c42740e.jpg,,,https://www.facebook.com/restaurantbar-%EF%BC%BC%B6%EF%BC%A9%EF%BC%BC%EABC%EF%BC%AF-%E3%83%93%E3%83%BC%BC%B7-1948534050404040404050404091/,,"프로젝터, TV 및 모니터, 오디오 장비",,,,,
