식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,영상,QR 코드 결제,주차,사적인,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,대기,서비스,아이들이 들어 오세요,맥주 제작자,추가 장비,페이스 북,당신이 마실 수있는 모든 것,애완 동물,Wi-Fi 사용,외국어 지원,IC 카드 지불,인스 타 그램,드레스 코드,전화 번호,발언,전원 공급 장치 사용,X (트위터),지역
名代カツ揚げ つらら,유명한 튀김 큐렛 ICilla,https://retty.me/area/PRE13/ARE11/SUB1101/100001770504/,050-5462-7952,이자카야는 식사 Tonkatsu Rice Bowl을 설정합니다,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00
저녁 식사 17:00-22:00 L.O. 21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드","Kanda Square 1f, 2-2-1 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (240m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (240m)","48 석
(28 개의 카운터 좌석, 20 개의 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://katsuage-tsurara.com/,"점심, 쌀, 저녁 식사, 급여 지불 지불 가능",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001770504/archive/3541415-67ca4cbddd585e.jpg,PayPay,없음,예,,,,사용 가능한 예약,,,,,,,,,없음,,,https://www.instagram.com/katsuage_tsurara/,,03-6285-0800,,,,칸다
黒てつ家 本店,Kurotetsuya 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000777215/,03-6206-0630,Izakaya 카레 쌀 그릇 돼지 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"Kanda Mikuracho 9, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 거리 (220m)
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보 5 분 (370m)
JR Yamanote Line / Kanda (도쿄) 스테이션 5 분 도보 (390m)",18 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 고기, 흡연 허용, 세련된 점심, shochu, paypay 지불 가능, 요리 및 연말 파티, 요리 및 새해 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34050704.jpg,PayPay,,,,,,,,,,,,https://www.facebook.com/kurotetuya96/,,,,,,,,,,,,칸다
ちょいす,조금,https://retty.me/area/PRE13/ARE11/SUB1101/100001050419/,050-5304-1121,이자카야 해산물과 해산물 요리 일본 음식,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 토요일마다 일요일 휴가,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,"B1, 1-4 Y101 건물, Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 1 분 (72m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 1 분 거리 (79m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (420m)","35 석
(35 석 (카운터, 테이블, 반 개인 객실 포함)))))",예,"예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://choice.foodre.jp/","저녁 식사, 연회 및 음주 파티, 술, 고기, 연말 파티, 새해 파티, 캐주얼, 세련된, 새해 파티, 신입생 파티, 성인 연말 파티, 빠른 새해 파티, 신속 새해 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001050419/archive/186501-58ee10dcbfeb9.jpg,,,,,,,,,,,,,,,,,,,,,03-3256-3993,,,,칸다
イルフルロ,Ilfluro,https://retty.me/area/PRE13/ARE11/SUB1101/100001211278/,03-3293-0194,이탈리아 요리 와인 바 이탈리아 바 바 해산물 프랑스 파스타,"[월요일부터 금요일, 토요일, 휴일 전]
 11:00-14:30 L.O. 14:30
[월요일부터 금요일까지, 휴일 전]
 17:00-22:00 L.O. 22:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Sanhiro Biko Building 1f, 1-2-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마시 (도쿄) 역에서 도보로 4 분 거리 (250m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 6 분 거리 (410m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (420m)",22 석,예,"불가능합니다
(밖에서 담배를 피울 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","http://www.il-furlo.com
https://youtu.be/vgs9rurllrg?list=plrrs3urhhz_4enqomiecowpflwltqmvc8","점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3409711.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
Trevi,트레비,https://retty.me/area/PRE13/ARE11/SUB1101/100000828809/,03-5289-8868,이탈리아 요리,"[월요일부터 금요일과 토요일]
 17:00-26:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 5,000 엔","Amex
JCB","Sasajima Building 1f, 2-1 Kanda Tacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (190m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (310m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 4 분 거리 (310m)",,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"저녁 식사, 흡연 허용, 늦은 밤에 문을 열고, 급여 지불 지불 허가",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/20837204.jpg,PayPay,,,,,와인이 있습니다,,,,,,,,,,,,,,,,,,,칸다
トラットリア日月,트라 토리아 태양과 달,https://retty.me/area/PRE13/ARE11/SUB1101/100001725903/,03-3518-2212,이탈리아 요리,,,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔",,"2-3-10 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 5 분 거리 (340m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 5 분 (350m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (350m)",,,,,https://hizuki.tokyo/,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34680154.jpg,,,,,,,,,,,,,,,,,,,https://www.instagram.com/hizuki.trattoria/,,,,,,칸다
USUAL B.,평소 B.,https://retty.me/area/PRE13/ARE11/SUB1101/100000085587/,03-5203-0707,이탈리아 바,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-24:00 L.O. 23:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",Amex,"4-4-16 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 2 분 (150m)
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (270m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (270m)",27 석,없음,,없음,,저녁 식사 이용 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/23290467.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
GOOD DISH TOKYO,좋은 요리 도쿄,https://retty.me/area/PRE13/ARE11/SUB1101/100001583005/,03-6275-0722,이탈리아 요리,,,"점심:-
저녁 식사 : ~ 6,000 엔",,"1F, Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (250m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 (260m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 4 분 거리 (260m)",,,,,,PayPay 지불 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29750256.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
caiman table,카이만 테이블,https://retty.me/area/PRE13/ARE11/SUB1101/100001281891/,050-5303-6581,이탈리아 파스타 바,"[월요일부터 금요일까지]
점심 11:30-13:30
저녁 식사 18:00-23:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Kadokura Building 1f, 4-5-15 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (310m)","23 석
(카운터 좌석/17 석, 6 인 상자 좌석/1 좌석)",예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://caiman-table.foodre.jp/
https://www.caiman-table.com","생일, 솔로 손님, 그룹 데이트, 저녁 식사, 점심 날짜, 맛있는 레스토랑 및 저렴한 레스토랑, 급여 지불 지불, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001281891/archive/940438-5ce7b97595a77.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능",예,"5,000 ~ 5,999 엔 코스로 제공됩니다","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 요리사가 유명한 레스토랑에서 훈련을 받았으며 매장 내에서 준비했습니다.",맥주와 와인이 있습니다,저녁 식사 시간에만 사용할 수 있습니다,"차분한 분위기
숨는 곳",축하 가능성,,,,,"5,000 엔 이상을 사용할 수 있습니다",,예,,,,없음,03-3241-0151,"∎ 점심 코스 만 예약 할 수 있습니다.
・ 금요일에 많은 예약이 있으므로 일찍 예약하십시오.",예 (무료),,칸다
リストランテ・シャイー,Ristorante Chai,https://retty.me/area/PRE13/ARE11/SUB1101/100000454494/,03-3255-8655,이탈리아 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-14:30 L.O. 14:00
[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 18:00-23:00 L.O. 21:30",매월 매월 두 번째 토요일 매주 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔",Amex,"2-10-2 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 4 분 (320m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 5 분 거리 (370m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)","10 석
(표 : 4 석, 카운터 좌석 : 6 석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 날짜, 연회 및 음주 파티, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 저녁 식사, 쌀, 비 연소, 점심 날짜, 급여 판매 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000454494/archive/435076-5af56d8e3ca2a.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
trattoria Macco,트라 토리아 맥코,https://retty.me/area/PRE13/ARE11/SUB1101/100000762695/,03-3518-9662,이탈리아 요리 파스타 크림 choux,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,"Aoki Building 1f, 1-16-12 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (290m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보 4 분 (290m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역 (300m)에서 도보로 4 분",30 석,예,"불가능합니다
(입구 바로 옆에 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 날짜, 여자 밤, 혼자, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 흡연, 점심 날짜, 여자의 밤, 세련된 점심, 이브닝 카페, 지불금 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34717269.jpg,PayPay,없음,,,,,,,,,,,,,,,,,,,,,,,칸다
ステラコリス,스텔라 콜리스,https://retty.me/area/PRE13/ARE11/SUB1101/100000037035/,03-5296-8108,이탈리아 와인 바,"[월요일부터 금요일까지, 휴일 전]
 12:00-14:00 L.O. 13:30
 18:00-23:00 L.O. 22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드","1-7-1 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (79m)
Jr Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 5 분 거리 (400m)",38 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://stella-collis.com/,"점심 연회 및 음주 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티를 마시는 와인 저녁 식사 저녁 식사를 마시지 않는 개인 방 점심
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36250530.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
TRATTORIA Jugemu,트라 토리아 주유지,https://retty.me/area/PRE13/ARE11/SUB1101/100000078276/,03-3254-9840,이탈리아 파스타 와인 바,"[월요일부터 금요일까지]
 11:30-13:00
 17:30-23:00
[토양]
 17:30-21:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,"Akao Kosan Building, 2-1-14 Kajicho, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (29m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (290m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (450m)",50 석,없음,"(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 세련된, 저녁, 쌀, 세련된 점심, 성인 날짜
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2642791.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
イル・リストランティーノ,일 리스토란티노,https://retty.me/area/PRE13/ARE11/SUB1101/100000973042/,03-3865-0665,이탈리아 요리,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",,"2-9-12 Iwamotocho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보로 3 분 거리 (220m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (350m)
Jr Sobu Main Line / Bakurocho 역에서 도보로 6 분 (410m)",,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"개인 실, 와인 음료, 금연",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/6933853.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
fratello,Fratello,https://retty.me/area/PRE13/ARE11/SUB1101/100000753081/,03-3242-0330,이탈리아 요리,"[월요일부터 금요일과 토요일]
 11:30-13:30
[월요일부터 금요일까지]
 17:30-23:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,"4-4-12 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (180m)
JR Yamanote Line / Kanda (도쿄) 역 4 분 (250m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (300m)",,,,,,점심 와인 음료 저녁 식사 라이스 페이 페이 지불 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34017364.jpg,PayPay,,,,,,,,,,,,https://www.facebook.com/fratello-617739048242387/,,,,,,,,,,,,칸다
神田よしかめ,칸다 요시키 메,https://retty.me/area/PRE13/ARE11/SUB1101/100000076627/,03-3251-4372,초밥 사시미,"[월요일부터 금요일까지, 휴일 전]
 17:00-25:00
[태양/토요일]
 17:30-22:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,"2-13-22 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (11m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (420m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (500m)",45 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"저녁 식사, 맛있는 레스토랑, 저렴한 레스토랑, 금연 지불이 허용됩니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/5412998.jpg,PayPay,없음,,,,,,,,,,,https://www.ac,,,,,,,,,,,,칸다
鮨 はし本,초밥 하시 책,https://retty.me/area/PRE13/ARE11/SUB1101/100001361736/,03-5577-4748,초밥,,매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 15,000 엔",Amex,"1f, Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 5 분 도보 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 5 분 (390m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (390m)","16 석
(8 개의 카운터 좌석, 4 개의 테이블 시트 x 2)","예
(2+6 L 자형 카운터, 총 8 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,금연 페이 페이 지불 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36638668.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
は満寿司,하만 스시,https://retty.me/area/PRE13/ARE11/SUB1101/100000076615/,03-3254-0588,초밥,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-22:30 L.O. 22:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",,"2-12-10 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 6 분 (480m)",,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"저녁 식사, 흡연은 급여 지불 지불이 허용되었습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35418695.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
後富久ずし,그 이후로 오래되었습니다,https://retty.me/area/PRE13/ARE11/SUB1101/100000036725/,03-3293-5226,초밥 쌀 그릇,"[월요일부터 금요일과 토요일]
 11:30-13:30
[월요일부터 금요일까지]
 17:00-23:00
[토양]
 17:00-21:30",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔",Amex,"Hiratomi Building, 1-10-1 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 5 분 거리 (370m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (400m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (400m)",40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 저녁 식사, 저녁 식사, 금연",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32533514.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
立ち喰い寿司 大松,서있는 스시 오마츠,https://retty.me/area/PRE13/ARE11/SUB1101/100001705420/,03-5295-5470,초밥 이자카야 해산물 쌀 그릇,"[월요일부터 금요일과 토요일]
 11:00-21:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",,"1F, 2-12-13 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (62m)
Toei Shinjuku Line / Iwamotocho Station에서 도보 6 분 (440m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (470m)",,,,,,"점심, 솔로, 세련된 저녁 식사, 쌀, 세련된 점심",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36941255.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
帆掛鮨,호케 스시,https://retty.me/area/PRE13/ARE11/SUB1101/100000076619/,03-3866-4943,초밥 해산물과 해산물,"[월요일부터 금요일까지]
 11:30-13:30
 17:00-21:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 10,000 엔",불가능합니다,"2-10-3 Higashikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Chuo / Sobu Line / Asakusabashi Station에서 도보로 5 분 (330m)
Jr Sobu Main Line / Bakurocho 역에서 도보로 5 분 (330m)
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보 6 분 (470m)","31 석
(Coun",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"점심, 개인 실, 저녁 식사, 쌀, 비 흡연, 개인 실, 점심, 개인 실,",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36967300.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
鮨DINING 辰,초밥 식당 타츠,https://retty.me/area/PRE13/ARE11/SUB1101/100000855366/,03-5217-1511,"초밥, 쌀 그릇, 사시미","[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-14:00
[월요일부터 수요일과 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:30
[Thu/Gold]
저녁 식사 17:00-24:00 L.O. 23:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",불가능합니다,"1 층, Harmony Hall, 2-17-8 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 2 분 거리 (120m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (120m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 2 분 거리 (130m)",10 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32696575.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
