식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
シンガポール ホリック ラクサ,싱가포르 홀릭 락사,https://retty.me/area/PRE13/ARE8/SUB802/100001609747/,050-5462-5540,싱가포르 요리 테이크 아웃 카페,"[하루 종일]
점심 11:30-17:00
저녁 식사 17:00-23:00 L.O. 22:00
수프가 다 떨어지는 날에 일찍 문을 닫을 수 있습니다.","불규칙한 휴일 : 매월 2 월 2 일; 매월 4 번째 월요일
매월 둘째, 넷째 월요일이 공휴일이라면 우리는 문을 열 것입니다.
다섯 번째 월요일에 휴가가있을 수 있습니다 (자세한 내용은 Instagram을 참조하십시오 ...)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Aristo Shibuya 2f, 37-15 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (520m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (600m)
도쿄 메트로 치 요다 라인 / 요요 기 코엔 스테이션에서 도보 11 분 (830m)",없음,"22 석
(표 4 인승 2 석)","예
(카운터에서 15 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://singapore-holic-laksa.foodre.jp/
https://r.goope.jp/llcsngholiclaksa/",PayPay LinePay 결제 가능,,,"슈퍼 매운 메뉴, 요리사는 해외에서 훈련하고 매장 내 준비를 준비했습니다","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 쌀, 자녀와 함께 즐기십시오. 지불금 지불 이용 가능한 야간 카페 연회 및 술을 마시는 파티 참여 저녁 식사 파티 싱글 OK 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,없음,예,불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001609747/archive/3298154-662b0d2e950a5.jpg,03-6804-1833,,,,,,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,
しゃぶ禅 渋谷店,Shabu Zen Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB804/100000039335/,03-3485-0800,Shabu-Shabu,"[하루 종일]
 17:00-23:30 L.O. 22:30
*모두 오후 9시 30 분까지 올라갈 수 있습니다. 이해 해주셔서 감사합니다.",하루 종일 개점,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shibuya Creston Hotel B1F, 10-8 Kamiyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 8 분 (610m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (660m)
도쿄 메트로 치 요다 라인 / 요요 기 코엔 스테이션에서 도보 10 분 (750m)","없음
근처 (할인 없음) 사용 가능","160 석
(100 개의 테이블 좌석, 40 개의 타타미 좌석)",없음,"예
완전히 흡연이 허용됩니다
(상점 밖에서 흡연 공간)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 120 명
최대 154 명을 임대 할 수 있습니다","[공식적인]
https://shabuzen-shibuya.foodre.jp/
http://shibuya.shabuzen.jp/","・ 서비스 요금 : 10%
・ 테이블 요금 : 500 엔","4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 5,000 엔 이상, 2 시간 동안 온전한 링크","우리는 야채 요리, 고기 요리 및 재료를 생산하고, 알레르기가있는 고객을 수용 할 수 있으며, 채식 메뉴를 가질 수 있으며, 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"연회 및 음주 파티 고기 저녁 식사 생일 무료 Wi-Fi Sake 이용 가능 all-you-can-eat all-you-eat all-you-eat 개인 방 작별 파티 엔터테인먼트 싱글 OK Drick Daytime Date all-you-can-drink 그룹 날짜 새해 파티 개인 객실 날짜
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다
호텔에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),예,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000039335/archive/345622-673c379fb7b0a.jpg,,,,,,,,,
鳥源氏,토리 겐,https://retty.me/area/PRE13/ARE8/SUB806/100001540695/,03-3476-2016,Yakitori Oyakodon Izakaya,"[하루 종일]
저녁 식사 16:00-1:00 L.O. 23:00
팔리 자마자 끝납니다","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Saito Daini Building 4F, 2-29-18 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (95m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (560m)",없음,23 석,예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명","예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
최대 22 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 15 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 30 명","[공식적인]
https://torigenji.foodre.jp/",,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","5,000 엔 이상에 대한 all-you-can-drink와 2.5 시간 동안의 싱글 링크가 포함 된 과정이 있습니다.","우리는 고기 요리에 대해 특히, 알레르기가있는 고객을 수용 할 수 있으며 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"데이트 전일-마시는 연회/음료 파티 개인 객실 약혼 저녁 식사 싱글 엔터테인먼트 작별 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시십시오.
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
활발한 상점
숨는 곳
상단에 있습니다","축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,"예
아이들은 환영하고, 미취학 아동은 환영하고, 초등학생들은 환영하며, 알레르기 식품을 환영합니다.",불가능합니다,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001540695/archive/1739491-5efed092e5196.jpeg,,,,,,,,,
鳥道酒場 渋谷センター街2号店,Torido Bar Shibuya Centergai No. 2,https://retty.me/area/PRE13/ARE8/SUB802/100001729921/,050-5462-7747,이자카야 야키토리,"[하루 종일]
 0:00-24:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"시부야 센터 스트리트 빌딩, 22-4 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 거리 (46m)",없음,160 석,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
최대 160 명을 임대 할 수 있습니다
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 160 명","[공식적인]
https://torimichisakaba-shibuya2.foodre.jp/",,,,,,,"점심 식사를 위해 마시기 늦은 밤 개인 객실 작별 파티 최초의 기차 지불금 지불 이용 가능 급여 지불 포인트 온라인 예약 가능 쌀 저녁 식사 점심 Shochu Drink Sake
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001729921/archive/3533417-67c0266a0617.jpg,03-6455-2980,,,,,,,,
べるまっしゅ,Berumass,https://retty.me/area/PRE13/ARE8/SUB804/100000377062/,050-5304-1820,이자카야 해산물과 해산물,"[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17:00-23:30 L.O. 22:30
* 점심 사업은 잠시 동안 폐쇄됩니다.",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"사토 빌딩, 13-1 Minamidai-Cho, 시부야-쿠, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보 5 분 (340m)
JR Yamanote Line / Shibuya Station에서 도보로 9 분 (710m)
도쿄 도요코 라인 / 다이키 야마 스테이션 15 분 도보 (1.1km)","예
근처 (할인 없음) 사용 가능",40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://berumasshu.foodre.jp/",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","5,000 엔 이상을 사용할 수 있습니다","우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"고기 성인 은신처 저녁 식사 소녀 밤 마시는 술 마시는 엔터테인먼트 엔터테인먼트 전 만-마시는 연회/음주 파티 작별 파티 환영 파티를 환영합니다. 급여 지불 지불 이용 가능 PayPay Points 온라인 예약 이용 가능 연말 파티 새해 파티
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000377062/menu/49673-57888d3362015.jpg,03-3461-0708,,,,,https://www.instagram.com/berumash.shibuya/,,,
焼肉29テラス 渋谷南口店,Yakiniku 29 테라스 시부야 미나 미구 치 지점,https://retty.me/area/PRE13/ARE8/SUB806/100001725400/,050-5462-8083,야키 니쿠 이자카야 호르몬,"[월요일부터 금요일까지]
저녁 식사 17:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
 12:00-23:30 L.O. 22:30",불규칙한 휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Shibuya Cr Building B2F, 1-10-2 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (110m)",없음,"46 석
(8 개의 카운터 좌석, 36 개의 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,,,,사용 가능한 예약,"점심, 저녁, 쌀, 독신자 OK PayPay Points 온라인 예약 가능",,,,,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36188950.jpg,03-645-0429,,,https://twitter.com/29teras_shibuya,,https://www.instagram.com/29terrace_shibuyamiumiguchi,,,
九四六屋,Kyushiroya,https://retty.me/area/PRE13/ARE8/SUB806/100000090697/,03-5456-8587,이자카야 치킨 요리 hokkaido 요리 소금라면,"[월요일부터 금요일과 토요일]
 17:00-0:00",매주 일요일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"B1, 2-23-1 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (260m)
Keio Inokashira Line / Shinsen 역에서 도보 6 분 (430m)","없음
근처 (할인 없음) 사용 가능","20 석
(앉기 : 25 석, 좌석 20 석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://kushiroya.foodre.jp/",,,,생선 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"저녁 식사, 흡연 허용 페이 페이 지불 허가 된 급여 지불 포인트 온라인 예약 이용할 수있는 작별 파티 환영 파티 인기 상점 예약
다른 사용 장면을 참조하십시오",차분한 분위기,테이크 아웃 가능성,,"예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000090697/archive/347742-67594B144B2A1.jpg,,,,https://x.com/946ya_shibuya,,,"Suica, Quicpay",,
カラオケの鉄人 渋谷道玄坂店,가라오케 Tetsujin Shibuya Dogenzaka 매장,https://retty.me/area/PRE13/ARE8/SUB806/100001477348/,03-6416-5681,식당 바,"[하루 종일]
 11:00-30:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2-29-11 Dogenzaka, Shibuya-Ku, Tokyo 6th Central Building
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (74m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (510m)",없음,256 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"PayPay 지불 가능. PayPay 포인트를 얻습니다. 온라인 예약 가능. 연말 파티. 새해 파티. 작별 파티. 파티를 환영합니다. 개인 실. 점심 음주. 평상복.
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001477348/archive/3223588-65980424b80c0.jpg,,,,,,,,,
渋谷ワイナリー東京,시부야 와이너리 도쿄,https://retty.me/area/PRE13/ARE8/SUB805/100001547688/,03-6712-5778,와인 바,"[하루 종일]
 11:00-23:00
점심 11 : 00-15 : 00
카페 15 : 00-17 : 00
식당 17 : 00-23 : 00 (L.O. 22:00 스테이크 21:30)",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3 층, Miyashita Park North, 6-20-10 Jingumae, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (67m)",없음,"44 석
((24 개의 테이블, 14 카운터, 6 개의 테라스))))",예,"연기 분리
흡연실 사용 가능
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었으며 최신 정보는 최신 정보와 다를 수 있으므로 방문하기 전에 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,https://shibuya.wine/,"QR 코드 결제 가능
(Paypay, DPay, Rakuten Pay, AU Pay)","2,999 엔 미만, 3,000 ~ 3,999 엔 코스 이용 가능, 5,000 ~ 5,999 엔 코스 이용 가능",,고기 요리 전문,와인이 있습니다,사용 가능한 예약,"Paypay Points 온라인 예약 가능 연말 파티 새해 파티 점심 식사 점심 식사 개인 방 저녁 식사 캐주얼 새해 파티 요리를위한 신속하고 빠른 새해 파티
다른 사용 장면을 참조하십시오",,소믈리에가 있습니다,,예,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001547688/archive/2826301-630c6e82b2a55.png,,,https://www.facebook.com/shibuyawinerytokyo/,,,https://www.instagram.com/shibuyawinerytokyo/,"Suica, Rakuten Edy, Quicpay",,
近江うし焼肉 にくTATSU 渋谷店,OMI USHI YAKINIKU NIKU TATSU SHIBUYA 지점,https://retty.me/area/PRE13/ARE8/SUB802/100001590337/,050-5304-3472,"스테이크, 쇠고기 혀, 구운 고기","[월요일 ~ 목요일]
저녁 식사 16:00-23:00 L.O. 22:30
[금과 앉았다]
 11:30-23:00 L.O. 22:30
[일요일과 휴일]
 11:30-22:00 L.O. 21:00",새해 휴일 (확인하십시오),"점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-20-15 Jinnan, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)","없음
근처 (할인 없음) 사용 가능",51 석,,"불가능합니다
(상점의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,"[공식적인]
https://nikutatsu-shibuya.foodre.jp/
https://nikutatsu-shibuya.com/","PayPay, DPay, AuPay 지불이 가능합니다","7,000 엔 ~ 7,999 엔 코스, 8,000 엔 코스 이상으로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 온 맨 링크","우리는 고기 요리에 대해 특히, 알레르기가있는 고객을 수용 할 수 있으며, 어린이를위한 메뉴, 매우 매운 메뉴, 매장 내에서 준비된 메뉴를 갖추고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 어린이와의 재미, 솔로, 개인 룸 엔터테인먼트, 세련된 점심, 급여 지불 지불 가능, 새해 파티, 작별 파티, 환영 파티, 점심 시간 음주, 크리스마스 2024, 성인 연말 파티, 세련된, all-you-can-drink
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생을 환영하고, 이유식을 가져오고, 어린이 메뉴를 이용할 수 있고, 알레르기 음식을 수용 할 수 있습니다",불가능합니다,예 (무료),예,언어를 말할 수있는 직원이 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001590337/archive/256363-61a979b88cf56.jpeg,03-5489-2911,,,,,,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,
