식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,페이스 북,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,사용 장면,대기,서비스,Wi-Fi 사용,전화 번호,영상,IC 카드 지불,사적인,발언,예약,아이들이 들어 오세요,전원 공급 장치 사용,인스 타 그램,X (트위터),외국어 지원,드레스 코드,애완 동물,추가 장비
林屋茶園 目黒店,Hayashiya Tea Garden Meguro 지점,https://retty.me/area/PRE13/ARE13/SUB704/100001394159/,03-5447-5310,카페 달콤한 상점 테이크 아웃,"[월요일부터 금요일까지]
 10:00-21:00 L.O. 20:30
[하루 종일]
점심 11:00-14:30
저녁 식사 17:00-21:00
[태양, 토요일, 휴일]
 9:00-21:00 L.O. 20:30
*11:00부터 아침 식사가 있습니다 (프렌치 토스트, Warabimochi 및 Kudzu Neri 세트, 오늘의 케이크 세트 및 차만 제공).
*식사는 11:00 ~ 14:30 및 17:00에서 21:00까지 구입할 수 있습니다.
*테이크아웃
주중 : 10 : 00-20 : 00 (L.O 19:30)
토요일, 일요일, 휴일, 9 : 00-20 : 00 (L.O 19:30)
일요일에 열립니다","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1F Meguro Central Square, 3-1-2 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (96m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (920m)
JR Yamanote Line / Gotanda Station 13 분 도보 (1.0km)","예
특별 P 사용 가능",40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://kyo-hayashiya.jp/shoplist/meguro/,https://www.facebook.com/hayashiya.chaen/,,,"우리는 야채 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.",,PayPay 지불 가능 Paypay Points 온라인 예약 가능 점심 식사 세련,"차분한 분위기
상업용 시설에 위치합니다",테이크 아웃 가능성,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001394159/archive/2868019-63363649cf660.jpg,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay",불가능합니다,"PayPay, DPAY, AU 급여",사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",,https://www.instagram.com/hayashiya.meguro/,,"영어
언어를 말할 수있는 직원이 있습니다",없음,,
テオドーラ,테오도라,https://retty.me/area/PRE13/ARE13/SUB704/100000032356/,050-5461-6001,프랑스 요리,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[하루 종일]
저녁 18 : 00-22 : 00
[태양, 토요일, 휴일]
점심 12:00-14:00 L.O. 13:30
예약이 없으면 상점이 문을 닫을 수 있습니다. 대형 고객을 알고있어주세요.",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"꽃 광장 건물 3F, 2-10-32 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (240m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 13 분 도보 (1.0km)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)",,"24 석
(6 개의 테라스 좌석을 결합하면 30 석이 있지만, 나타날 수있는 시간은 제한되어 있으므로 공식적으로 24 석이 있습니다.",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"날짜, 소녀의 밤, 성인의 은신처, 세련된 점심, 저녁, 저녁 식사, 세련된 점심, 생일, 와인 음주, 테라스, 크리스마스 저녁 식사, 점심 날짜, 지불금 지불, 급여 판매 포인트
다른 사용 장면을 참조하십시오",,,,03-5791-2160,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000032356/archive/1854641-5f5ef3bf720c6.jpg,,,,,,,,,,,,
バルマルシェ・コダマ ステーキ&ロブスター アトレ目黒店,바 마르케 코다마 스테이크 & 랍스터 아트 르구로 지점,https://retty.me/area/PRE13/ARE13/SUB704/100001380001/,050-5304-3221,바 스테이크 해산물과 해산물 서부 푸드 바,"[하루 종일]
점심 11:00-16:00 L.O. 15:00
저녁 식사 17:00-21:30 L.O. 21:30
[Sun, Friday, Saturday 및 Holidays]
아침 8:30-10:30 L.O. 10:00","불규칙한 휴일
폐쇄 된 날은 Atre와 동일합니다

*고기 요리의 마지막 주문은 오후 9시입니다.
*예약은 저녁 식사 만 허용됩니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",예,,"2 층, Atre Meguro 2, 3-1-1 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 1 분 도보 (65m)
Tokyu Meguro Line / Fudomae Station에서 도보로 11 분 (880m)
JR Yamanote Line / Gotanda Station 14 분 도보 (1.1km)",,82 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","[공식적인]
https://barmarchekodama.foodre.jp/",,,,,,"All-You-Can-Drink Dinning Dinner 저녁 식사 새해 파티 점심 개인 방 싱글 룸 엔터테인먼트 고기 아침 식사 포인트 온라인 예약 가능 연말 파티 환영 파티 점심 점심 세련된 성인 날짜
다른 사용 장면을 참조하십시오",,,,03-5435-4105,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001380001/archive/471818-5b3ee1d8d353e.jpg,,,,,,,,,,,,
ビストロエガリテ,비스트로 에가 라이트,https://retty.me/area/PRE13/ARE13/SUB704/100001616847/,050-5304-4486,비스트로 프랑스 요리,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
점심 12:00-15:00 L.O. 13:30
저녁 식사 18:00-22:30 L.O. 21:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, 2-23-2 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 8 분 (620m)
Tokyu Meguro Line / Fudomae 역에서 도보로 9 분 (660m)
Tokyu Meguro Line / Musashi-Koyama 역에서 도보 18 분 (1.4km)",예,36 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심, 저녁 식사, 결혼 기념일, 날짜, 생일, 새해 파티, 여자 파티, 세련된 점심, 지불금 지불 이용 가능, 연말 파티, 크리스마스 저녁 식사, 점심 식사, 급여 매입 포인트, 온라인 예약 가능, all-you-can-drink
다른 사용 장면을 참조하십시오",,,없음,03-5790-9629,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001616847/archive/2613928-61fbadb969dc9.jpeg,,,,,,,,,,,,
蕎麦懐石 義 恵比寿,소바 카이세키 요시 에비 수,https://retty.me/area/PRE13/ARE13/SUB704/100001425798/,050-5304-3179,소바 (소바) 일본 음식,"[하루 종일]
점심 12:00-14:00
저녁 18 : 00-22 : 00","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 5,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Peerless B1F, 2-3-20 Mita, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 8 분 (590m)
JR Yamanote Line / Meguro Station 13 분 도보 (1.0km)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 14 분 (1.1km)",예,19 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://gi-ebisu.owst.jp/,,"4,000 엔 ~ 4,999 엔 코스, 7,000 엔 ~ 7,999 엔 코스로 제공됩니다.",,,,"점심, 엔터테인먼트, 저녁 식사, 개인 실, 환영 파티, 날짜, 새해 파티, 와인 마시는 와인, 크리스마스 2024, 성인 연말 파티, 럭셔리 크리스마스, 성인 새해 파티, 세련된, 작별 파티, 점심, PayPay Points Get Paypay Points
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,예,03-6303-1105,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001425798/archive/154629-5e7865fc9cbe8.jpeg,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay",,,,불가능합니다,,http://www.instagram.com/sobakaiseki_gi,,,없음,불가능합니다,
果実園リーベル 目黒店,과일 정원 Liebel Meguro 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000856389/,03-6417-4740,"과일 팔러, 커피 숍, 테이크 아웃, 카페, 과자, 샌드위치, 파르페, 기념품, 면도 된 얼음, 서양식 음식","[월요일부터 금요일과 토요일]
 7:30-23:00 L.O. 22:30
[낮]
 7:30-22:00 L.O. 21:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,,"2F, Meguro Heights 회장, 1-3-16 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 거리 (230m)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,"50 석
(이전 메 구로 스테이션 Atre Store보다 더 많은 좌석이 있으며 4 개의 메인 좌석 테이블이 있습니다)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://kajitsuen.jp/,,,,,,"점심 여자 밤 괜찮아 솔로 손님 체리 꽃보기/사쿠라 전망 식당은 와인을 마실 수있는 아이들과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36452853.jpg,,,,,예,,,,,,,
とんかつ とんき 目黒本店,Tonkatsu Tonki Meguro 메인 스토어,https://retty.me/area/PRE13/ARE13/SUB704/100000090255/,03-3491-9928,Tonkatsu는 식사 테이크 아웃 일본 요리 Kushikatsu,"[Sun, 월요일, 수요일, 금요일, 토요일, 휴일]
 16:00-21:45",매월 매월 셋째 월요일 매주 화요일,"점심:-
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"1-1-2 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (140m)
Tokyu Meguro Line / Fudomae 역에서 도보로 11 분 (870m)
JR Yamanote Line / Gotanda Station 16 분 도보 (1.2km)",,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://www.youtube.com/user/megurotonkatsutonki/feed,,,,고기 요리 전문,,"연회 및 음주 파티 개인 객실 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36320190.jpg,,,,,,,,https://x.com/tonkatsu_tonki_,,,,
こんぴら茶屋,Konpira Tea Shop,https://retty.me/area/PRE13/ARE13/SUB704/100000021963/,03-3441-2491,Udon Curry Udon Tonkotsu Ramen,"[월요일부터 금요일까지]
 11:00-24:00 L.O. 24:00
[태양, 토요일, 휴일]
 11:00-23:30 L.O. 23:30","하루 종일 개점
일년 내내 문을 엽니 다 (새해 공휴일 제외)","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"Sakagami Building 1f, 3-3-1 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (180m)
도쿄 메트로 Namboku Line / Shirokanedai 역에서 도보로 12 분 (940m)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)",,20 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://konpira-chaya.com/,,,,,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 슈퍼 매운, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36749875.jpg,,,,,,,,,,,,
蒙古タンメン中本 目黒,몽골 탄맨 나카모토 메 구로,https://retty.me/area/PRE13/ARE13/SUB704/100000001879/,03-3446-1233,라면 쓰키 멘 기장라면 라이스 쌀 젤라토 소금라면,"[하루 종일]
 11:00-24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"Translink 3rd Building, 1f, 2-13-45 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (120m)
도쿄 메트로 남보쿠 라인 / 시로 카네이 스테이션에서 도보 13 분 (980m)
도쿄 메 구로 라인 / 푸 도마 스테이션 14 분 도보 (1.1km)",,17 석,예,"불가능합니다
(흡연은 상점 내부에서 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.moukotanmen-nakamoto.com/,,,,,,"점심, 솔로, 스타일리시, 저녁, 쌀, 맛있고 저렴한 레스토랑, 비 흡연, 세련된, 슈퍼 매운 식당
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35511564.jpg,,,,,,,,,,,,
ハングリー ヘブン 目黒店,배고픈 천국 메 구로 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000007628/,03-6303-9555,햄버거 카페 야키 니쿠,"[하루 종일]
 11:00-16:00 L.O. 15:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,PayPay,"2f Cesar Meguro, 1-2-22 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 3 분 (190m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (910m)
JR Yamanote Line / Gotanda Station 17 분 도보 (1.3km)",,20 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/hungry-heaven-meguro-1098675173500753/,,,,,"점심, 솔로, 세련된 쌀, 고기, 비 조화, 세련된 점심, 식사, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3491942.jpg,,,,,,,,,,,,
麺屋 藤しろ 目黒店,Menya Fujishiro Meguro 지점,https://retty.me/area/PRE13/ARE13/SUB704/100000697759/,03-3495-7685,라면 츠케 멘 테이크 아웃 Tonkotsu라면 소금라면,"[월요일부터 금요일과 토요일]
 11:00-23:00
[낮]
 11:00-18:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"San Ferista Meguro, 2-27-1 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Meguro 역에서 1 분 도보 (66m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (950m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 역 16 분 (1.2km)",,11 석,"예
(카운터 만)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://hujishiro.jp/,https://www.facebook.com/mennyafujishiro/,,,,,"점심, 솔로, 스타일리쉬, 저녁, 쌀, 맛있고, 싸고, 저렴하지 않은, 세련된, 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3186332.jpg,,,,,,,,https://x.com/menya_hujishiro,,,,
鳥しき,조류,https://retty.me/area/PRE13/ARE13/SUB704/100000005481/,03-3440-7656,야키토리 일본 요리 테이크 아웃 사시미 일본 요리 쌀 그릇,"[tue-fri-sat]
 18:00-21:00",매주 월요일마다 일요일 휴가,"점심:-
저녁 식사 : ~ 8,000 엔",Amex,,"2-14-12 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (91m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 13 분 도보 (1.0km)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)",,"17 석
(카운터 만)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"데이트, 솔로 손님, 엔터테인먼트, 크리스마스 저녁 식사, 음료수, 와인, 세련된, 저녁, 쌀, 흡연, 음료 쇼치
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36508945.jpg,,,,,,,,,,,,
麺家 黒,국수 하우스 블랙,https://retty.me/area/PRE13/ARE13/SUB704/100000005145/,03-3490-1196,"라면, 쓰키 멘, 가족라면, 쌀 쌀, Tonkotsu라면","[태양, 월요일부터 금요일, 토요일]
 11:00-16:00
[태양, 월요일부터 목요일까지]
 17:00-26:00
[금과 앉았다]
 17:00-27:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1-6-12 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 5 분 (380m)
Tokyu Meguro Line / Fudomae Station에서 도보 13 분 (990m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",없음,"14 석
(6-8 개의 카운터 시트 (2 개의 예비 의자는 물 서버 옆에 있습니다), 6 개의 테이블)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/pages/menya-black/163476030330680,,,,,"점심, 솔로, 세련된, 저녁, 쌀, 맛있고 저렴한 레스토랑, 비 흡연, 세련된, 늦은 밤
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30209910.jpg,,불가능합니다,,,,,,,,,,
支那ソバ かづ屋,중국 소바 국수 카즈야,https://retty.me/area/PRE13/ARE13/SUB704/100000001529/,03-6420-0668,"라면, 츠키멘, 댄 맨, 쌀 그릇","[하루 종일]
 11:00-23:00
매진되었습니다","하루 종일 개점
매진 된 품목도 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"3-2-4 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보로 10 분 (760m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (770m)
Tokyu Meguro Line / Musashi-Koyama 역에서 도보 17 분 (1.3km)",,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.kaduya.co.jp/,,,,,,"점심, 솔로, 스타일리쉬, 저녁, 쌀, 맛있고, 싸고, 저렴하지 않은, 세련된, 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33892690.jpg,,,,,,,,https://x.com/sinasoba_kaduya,,,,
Trattoria Ciaoro,Trattoria ciaoro,https://retty.me/area/PRE13/ARE13/SUB704/100000920264/,03-6431-9921,이탈리아 요리 테이크 아웃,"[월]
점심 11:30-0:00 L.O. 14:00
[월요일부터 금요일, 토요일, 휴일]
저녁 식사 18:00-0:00 L.O. 21:00
[tue-fri]
점심 11:30-0:00 L.O. 13:30
[토양]
점심 12:00-0:00 L.O. 13:30
[축하해요]
점심 12:00-0:00 L.O. 14:00
[축하 전]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 18 : 00-24 : 00 L.O. 23:00
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일마다
국경일이라면 불규칙하게 문을 닫습니다. 전화로 저희에게 연락하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Sunwood Meguro B1, 1-3-28 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (270m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (940m)
JR Yamanote Line / Ebisu Station 18 분 도보 (1.4km)",예,40 석,예,"불가능합니다
(완전히 금연 (흡연 공간은 외부 및 외부에서 흡연 공간을 사용할 수 있음))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://ciaoro.jp/lp/lasagna/?utm_source=retty&utm_medium=referral&utm_campaign=url_retty&utm_id=retty,https://www.facebook.com/trattoria.ciaoro,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","5,000 엔 이상의 싱글 링크 가격, 3 시간 이상 동안 만난 링크","우리는 야채 요리, 고기 요리, 요리사가 해외에서 훈련 한 경험, 주인 요리사 및 매장 내 준비에 대해 특별합니다.","맥주, 와인, 위스키, 칵테일","점심, 여자 파티, 싱글 링크, 독신, 성인 은신처, 체리 꽃보기와 체리 꽃보기, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술 마시기, 와인을 마시는 식당, 어린이와 함께 즐기십시오.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
테라스가 있습니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000920264/archive/67963-57f37b33cddc0.jpeg,,예,청구 \ 300-5% 서비스 요금 (현금을 지불 할 때 서비스 요금 없음),사용 가능한 예약,예,,https://www.instagram.com/t_ciaoro,,,,"불가능합니다
상점 밖에서 사용할 수 있습니다",
