식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원,지역,온라인 예약,맥주 제작자,쇼핑 직무 정보
LICOT,LICOT,https://retty.me/area/PRE13/ARE16/SUB1302/100001177511/,050-5462-3298,이탈리아 요리 이자카야,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:30-22:00 L.O. 21:00
*우리는 현재 토요일에 일시적으로 문을 닫습니다.","매주 일요일과 공휴일
가게가 닫히면 상점에 확인하십시오.
티켓을 예약하려면 저희에게 연락하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"4-19-18 미타, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Sengakuji 역에서 도보로 1 분 (80m)
JR Yamanote Line / Takanawa Gateway Station 7 분 도보 (550m)
도쿄 메트로 Namboku Line / Takanawa Shirokane에서 도보로 9 분 (680m)",없음,30 석,예,"연기 분리
(Ashtrays는 상점 외부에 설치됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://licot-mita.foodre.jp/
https://cafe-dining-licot.com/","3,000 엔 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스로 구입할 수 있습니다.","5,000 엔 이상의 모든 금액 가격, 2.5 시간의 모든 링크",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 엔터테인먼트, 데이트, 싱글, 비 흡연, 점심 날짜, 야간 카페, 크리스마스 저녁 식사, 새해 파티, 성인 연말대 파티, All-you-can-drink, 성인 새해 파티, 세련된, 성인 데이트, 환영 파티, 점심 음주
다른 사용 장면을 참조하십시오",차분한 분위기,예,없음,03-6277-2969,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001177511/archive/3063602-64700d4fb8039.jpg,https://www.instagram.com/licot.dining_bar/,https://www.facebook.com/licot18/,,,,축하 가능성,,,,프로젝터 및 사운드 장비,"영어
직원과 함께 언어 지원 메뉴가 있습니다",타마 치,,,
小料理 たくみ,작은 요리 다쿠미,https://retty.me/area/PRE13/ARE16/SUB1302/100001252721/,050-5462-5405,카포/작은 식당 사시미,"[tue-fri]
점심 11:30-13:30
저녁 식사 17:30-23:00
[태양, 토요일, 휴일]
저녁 식사 17:00-22:00","매주 월요일에 불규칙한 휴일
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",Amex,PayPay,"1F Kanazawa Building, 2-14-15 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 7 분 도보 (500m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 7 분 거리 (550m)
Yurikamome / Shibaura Pier Station에서 도보로 9 분 (690m)",,16 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.taqumi.jp/,,,,,,"저녁 식사, 쌀, 점심, 금연, 음주, 파티 후, 지불금 지불 수락, 급여 지불 포인트 받기, 온라인 예약 가능, 새해 파티, 작별 파티, 환영 파티, 인기있는 식당 예약
다른 사용 장면을 참조하십시오",,,,03-6453-7628,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001252721/archive/220234-600bca2ea0f6d.jpg,,,,,,,,,,,,타마 치,,,
絆 個室居酒屋,키즈나 개인 실 Izakaya,https://retty.me/area/PRE13/ARE16/SUB1302/100001762361/,050-5462-7148,이자카야,"[월요일부터 금요일까지]
 11:00-24:00
[태양, 토요일, 휴일]
 12:00-24:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F Higashi-Yui Building, 5-23-13 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (150m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (650m)",없음,80 석,,"예
(가열 된 담배는 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://kizuna-mita.foodre.jp/",,,,,,"점심, 저녁 식사, 저녁 식사, 점심, 개인 실, 흡연 허용, 급여 지불 지불 수락, 급여 지불 포인트, 온라인 예약 가능, 캐주얼, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",,,예,03-6380-0958,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001762361/archive/3463859-6745849c580ce.jpg,,,,"Suica, Nanaco, Rakuten Edy",,,,,,,,타마 치,,,
二代目 魚屋町,2 세대 Uoyacho,https://retty.me/area/PRE13/ARE16/SUB1302/100000036414/,03-6435-0477,이자카야 해산물 및 해산물 요리 Motsunabe Sashimi 쇠고기 혀 햄버거,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:30 L.O. 23:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",PayPay,"5-24-12 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (340m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (680m)",없음,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://nidaime-uoyamachi.foodre.jp/","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",2 시간 동안 당신이 다루는 것,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 밤, 그룹 날짜, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사 파티, 솔로 손님, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 개인 파티, 이용 가능
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
단독 주택 레스토랑
골목을 향합니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000036414/archive/2642092-6226fb6f22800.png,,https://www.facebook.com/uoyamachi/,https://x.com/uoyamachi,,,,,불가능합니다,,,,타마 치,,,
CIELITO LINDO BAR AND GRILL,Cielito Lindo Bar and Grill,https://retty.me/area/PRE13/ARE16/SUB1302/100001553261/,050-5462-7564,멕시코 음식,"[월요일부터 금요일까지]
 11:30-14:30 L.O. 14:00
[월요일과 화요일]
 17:00-22:00 L.O. 21:00
[수요일과 목요일]
 17:00-23:00 L.O. 22:30
[금]
 17:00-23:30 L.O. 22:00
[태양/토요일]
 11:30-15:00 L.O. 14:30
[토양]
 17:00-23:30 L.O. 22:30
[낮]
 17:00-21:00 L.O. 20:00
[축하해요]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
새해 휴일 (확인하십시오)
12/29 ~ 1/5","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"도쿄 포트 시티 Takeshiba 오피스 타워 빌딩 3F, 1-7-1 Kaigan, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Yurikamome / Takeshiba Station에서 도보 3 분 (180m)
JR Yamanote Line / Hamamatsucho Station 5 분 도보 (400m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 6 분 거리 (430m)",없음,"70 석
(ate 반 프리티브 룸 이용 가능 ・ 테라스 좌석 이용 가능)",없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://cielitolindobargrill-takeshiba.foodre.jp/,,,,,사용 가능한 예약,"점심, 저녁 식사, 싱글 게스트, 엔터테인먼트, 여자 밤, 데이트, 약혼 저녁 식사, 크리스마스 저녁 식사, 세련된 개인 점심, 세련된 개인 실, 개인 실, 급여 지불 지불, 세련된 메리 클렌치
다른 사용 장면을 참조하십시오",,,없음,03-6381-5385,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001553261/archive/3514470-67a357745c4ba.jpg,,,,,,,,,,,,타마 치,,,
炭火串焼 正直や,숯을 구운 꼬치서 정직하게,https://retty.me/area/PRE13/ARE16/SUB1302/100000091400/,050-5462-5146,이자카야 해산물과 해산물,"[월요일부터 금요일과 토요일]
점심 11:30-14:00 L.O. 13:30
[월요일부터 금요일까지]
저녁 식사 17:00-24:00 L.O. 23:00
[토요일/휴일]
저녁 식사 17:00-22:30 L.O. 22:30","매주 일요일
새해 휴일 (확인하십시오)
도와 주셔서 감사합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-12-16 시바 바라, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (360m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보 6 분 (480m)
Toei Asakusa Line / Sengakuji 역에서 도보로 12 분 (950m)",예,71 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://syoujikiya.foodre.jp/","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","All-You-Can-Drink 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 만세 가격 : 5,000 엔 이상, 한 시간 반 동안 2 시간 반 동안 온전한 링크",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,사케와 쇼치,사용 가능한 예약,"점심, 쌀, 저녁 식사, 만찬, 연회 및 음주 파티, 개인 객실, 연말 파티, 작별 파티, 환영 파티, 흡연 허용, 개인 객실, 점심, 급여 지불, 새해 파티, 음료 와인, 개인 객실, 세련된 점심
다른 사용 장면을 참조하십시오",활발한 상점,,예,03-6435-4828,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000091400/archive/1129950-5d8301becea76.jpg,,https://www.ac,https://x.com/sumibikushiysvq,,"*좌석이 가득 차면 상점에서 도보로 약 2-5 분 거리에있는 자매 상점을 소개 할 수 있습니다.
자매 상점 : ""숯 구운 꼬치 honya"" ""일본 현대 숯 구이 이자카야 시모 마츠""",,,,,"프로젝터, TV 및 모니터, 오디오 장비",,타마 치,,,
中華居酒屋 興祥園,중국 Izakaya Koshoen,https://retty.me/area/PRE13/ARE16/SUB1302/100000713101/,03-6435-3262,중국 음식 Izakaya Gyoza,"[월요일부터 금요일까지]
 11:00-23:00","매주 일요일마다
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
JCB",PayPay,"Tex Shibaura B1F, 3-14-5 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (350m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 6 분 거리 (460m)
Toei Asakusa Line / Sengakuji 역에서 도보로 11 분 (850m)","예
근처 (할인 없음) 사용 가능",45 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전산 된 가격 : 2,000-2,999 엔, 한 시간 반 동안 싱글 링크",매장 내 준비,"맥주, 술, 쇼치, 샤 옥싱 와인이 있습니다",저녁 식사 시간에만 사용할 수 있습니다,"점심, 라이스, 개인 실, 개인 실, 급여 지불금 지불, 급여 지불 포인트 받기, 온라인 예약 가능, 새해 파티, 캐주얼, 신입생 파티, 신속한 새해 파티, Far-Off Party, 환영 파티, 점심 음주
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
숨는 곳",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000713101/archive/2859204-6335619ea7dbb.jpg,,,,,,음료를 가져올 수 있습니다,,,,TV 및 모니터 사용 가능,중국인,타마 치,,,
ジンギスカン羊一 田町・三田店,Jingisu Khan Yongichi Tamachi/Mita 매장,https://retty.me/area/PRE13/ARE16/SUB1302/100001381983/,050-5303-1325,Jingisu Khan Yakiniku,"[월요일부터 금요일까지]
저녁 식사 17:00-23:30 L.O. 22:45
[태양, 토요일, 휴일]
 16:00-23:30 L.O. 22:45","하루 종일 개점
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.
우리는 12 월 31 일부터 1 월 4 일까지 문을 닫습니다.","점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"5f Ya Mita Building, 5-27-13 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 1 분 거리 (27m)
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (170m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (700m)","없음
근처 (할인 없음) 사용 가능",46 석,없음,"불가능합니다
(흡연은 입구를 포함하여 건물 전체에 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,https://www.youichi.jp/,,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔 이상에 대한 All-You-Can-Drink가 포함되어 있습니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료 및 매장 내에서 준비된 것입니다.","맥주, 쇼치, 와인, 위스키",사용 가능한 예약,"소녀의 밤, 저녁 식사, 급여 지불 지불, 급여 지불 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 개인 객실
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,03-6435-2947,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001381983/archive/328631-5a24b68d7248f.jpg,,https://www.facebook.com/youichitamachi,,Suica,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,불가능합니다,예 (무료),,"영어
언어 지원 메뉴가 있습니다",타마 치,,,
個室居酒屋 さつま武蔵 田町店,개인 실 Izakaya Satsuma Musashi Tamachi 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100000045369/,050-5462-7866,이자카야 야키토리,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 16:00-23:30
요리 L.O. 22:30 음료 L.O. 23:00",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Asaoka Building 4F, 5-22-3 Shiba, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (320m)
Toei Mita Line / Shibakoen Station 10 분 도보 (730m)",없음,80 석,없음,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 60 명
임대 가능 (좌석) : 80 명","[공식적인]
https://satsumamusashi-tamachi.foodre.jp/
https://satsumamusashi.owst.jp/","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, 3,000-3,999 엔, ALL-YOU-CAN-DRINK 코스에는 4,000-4,999 YEN에 대한 All-You-Can-Drink, All-You-Can-Drink Course for 5,000-yen-con-drince를 포함합니다. 2 시간, 2 시간 30 분, 3 시간 이상 동안 마실로 인정합니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"개인 객실 저녁 식사 엔터테인먼트 여자 파티 저녁 식사 전까지 만난 링크 연회/음료 파티 참여 단일 파티를위한 저녁 식사 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 새해 파티는 세련된 개인 객실과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
숨는 곳","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",예,03-5730-6408,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000045369/archive/3551730-67d6f7f6451c7.jpg,,,,,,,없음,불가능합니다,예 (무료),TV 및 모니터 사용 가능,,타마 치,,,
龍祥軒 芝浦店,Ryushoken Shibaura 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001341167/,050-5462-7023,중국 음식 이자카야,"[월요일부터 금요일까지]
점심 11:00-15:00
저녁 식사 17:00-23:00
[태양, 토요일, 휴일]
점심 11:00-14:00
저녁 식사 17:00-21:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",Amex,PayPay,"Utsumi Building 1f, 3-6-8 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (280m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 5 분 거리 (390m)
Toei Asakusa Line / Sengakuji 역에서 도보로 12 분 (890m)",,60 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://shibaura-ryushohken.foodre.jp/",,,,,,"점심, 저녁 식사, 쌀, 개인 실, 흡연 허용, 개인 실, 점심, 점심, 지불금 지불 수락, 급여 지불 포인트, 온라인 예약 가능, 전적으로 당신이 먹는 것, 모든 당신이 먹고, 모든 당신이 먹고, 모든 당신이 먹고, 새해 파티 요리, 요리 연말 파티, farewell 파티 요리
다른 사용 장면을 참조하십시오",,,,03-6809-6301,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001341167/archive/3444827-672c5f89f1bb2.jpg,,,,,,,,,,,,타마 치,,,
和モダン炭火焼き居酒屋 下松,일본 현대 숯을 구운 이자카야 시모 마츠,https://retty.me/area/PRE13/ARE16/SUB1302/100001592158/,050-5303-2629,이자카야 야키니 쿠,"[월요일부터 금요일, 토요일, 휴일]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:00-23:30 L.O. 22:30
Covid-19의 영향으로 인해 영업 시간은 다를 수 있습니다. 자세한 내용은 상점에 문의하십시오.",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,PayPay,"Toki Building 1f, 3-6-8 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (280m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 5 분 거리 (400m)
Toei Asakusa Line / Sengakuji 역에서 도보로 12 분 (890m)",없음,60 석,예,"예
완전히 흡연이 허용됩니다
(상점 내부에서 흡연이 가능합니다!)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명","[공식적인]
https://shimomatsu.foodre.jp/","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","All-You-Can-Drink 가격 : 1,000-1,999 엔, 전산 점수 가격 : 2,000-2,999 엔, all-you-can-drink 가격 : 3,000-4,999 엔",우리는 고기 요리에 대해 특별히 알고 있으며 재료를 생산합니다,"맥주, 사케, 쇼치",사용 가능한 예약,"저녁 식사, 쌀, 점심, 연말 파티, 파티, 파티, 고기, 전산-매점, 지불금 지불 이용 가능, 급여 지불 포인트, 온라인 예약 가능, 새해 파티, 개인 실, 작별 파티, 환영 파티, 점심 음료
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳",,없음,03-6722-6749,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001592158/archive/2545793-619B21D862033.JPEG,,,,,,,,"불가능합니다
상점에서 구입할 수 있습니다",예 (무료),"TV 및 모니터, 오디오 장비","영어 중국어 한국
언어를 말할 수있는 직원이 있습니다",타마 치,,,
ちゃ坊主,차부,https://retty.me/area/PRE13/ARE16/SUB1302/100001572118/,050-5462-7845,이자카야,"[태양, 월요일부터 금요일, 토요일]
 18:00-3:00","매주 일요일
자세한 내용은 공식 FB를 확인하십시오.","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F 신와 빌딩, 5-20-22 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (140m)
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (240m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (570m)",예,22 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://chabouzu-mita.foodre.jp/",,,,,,"저녁 식사, 솔로, 쌀, 흡연, 성인 은신처, 고기, 연회 및 음주 파티, 환영 파티, 연말 파티, 새해 파티, 음료수, 무료 Wi-Fi, 심야, 음료 Shochu, Paypay 지불, 성인 날짜, 성인 연말 파티
다른 사용 장면을 참조하십시오",,,예,03-6459-4439,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001572118/archive/2279112-6053fb28af072.png,,,,,"전자 돈을 사용할 수 있습니다
(운송 전자 돈 (Suica 등), ID, Quicpay)

QR 코드 결제 가능
(PayPay, Rakuten Pay, AU Pay)",,,,,,,타마 치,,,
