식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,발언,애완 동물,IC 카드 지불,X (트위터),서비스,대기,외국어 지원,드레스 코드,전원 공급 장치 사용,추가 장비,맥주 제작자
イタリアンバル ビータ,이탈리아 발 비타,https://retty.me/area/PRE13/ARE11/SUB1101/100001712029/,050-1018-8181,이탈리아 요리 이탈리아 바 파스타 바 창조적 요리,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[토양]
저녁 식사 16:00-22:00 L.O. 21:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Uchikanda kg 빌딩 1f, 3-10-1 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (500m)",없음,27 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://italianbar-vita.foodre.jp/",,,,,,"성인 은신처 저녁 식사 소녀의 밤 저녁 식사 날짜 독신자 고기 연회/음주 파티 연말 파티 크리스마스 저녁 식사 파티 작별 파티 환영 파티 all-you-drink 음주 주간 캐주얼 캐주얼 캐주얼 한 페이 페이 포인트
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001712029/archive/3120519-64d209c486ccc44.jpg,,예,,,,불가능합니다,,,,,,,,,
メキシカンダイニング ESO エソ 神田,멕시코 식당 Eso Eso Kanda,https://retty.me/area/PRE13/ARE11/SUB1101/100001766810/,050-5462-7470,이자카야 멕시코 요리,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-24:00 L.O. 23:00
[Sun, Saturday, Holidays, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:30
마감 시간은 하루에 따라 다를 수 있습니다",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","Eika 빌딩 1-14 Kanda Sudacho, Chiyoda-Ku, 도쿄 1f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho Station에서 도보로 3 분 거리 (200m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (210m)",없음,40 석,"연기 분리
(담배를 피우고 싶다면 상점에서 재떨이를 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://esodining.foodre.jp/",,,"우리는 고기 요리에 대해 특히, 알레르기, 채식 메뉴, 매우 매운 메뉴, 요리사는 유명한 식당에서 훈련을 받았으며 매장 내에서 준비된 고객에게 수용 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁, 쌀, 점심, 점심, 솔로, Paypay Points 온라인 예약 가능 인기있는 레스토랑
다른 사용 장면을 참조하십시오",예,예,050-3575-3574,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001766810/archive/3503067-6791c15d1cc9f.jpg,,없음,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, 3,000-3,999 엔, ALL-YOU-CAN-DRINK 코스에는 4,000-4,999 YEN에 대한 All-You-Can-Drink, All-You-Can-Drink Course for 5,000-yen-con-drince를 포함합니다. 1 시간 반, 2 시간 동안 완전히 흠뻑 젖고, 2 시간 반 동안 완전히 흠뻑 적시고, 3 시간 반 동안 싱글 링크, 3 시간 반 동안 싱글 링크","이용 가능 : Suica, Pasmo
QR 코드 결제 이용 가능 : PayPay, DPay, Line Pay, Merpay

송장 등록이있는 상점",,,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",보기가 좋습니다,,,,,
焼肉 神田精肉店 東口店,야키니쿠 칸다 정육점 이스트 출구 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001763011/,050-5462-7191,이자카야 야키니 쿠,"[태양, 월요일부터 금요일, 토요일]
 16:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","2-12-11 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)",없음,"45 석
((카운터에서 4 석, 테이블 10 개))","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://kandaseinikuten.foodre.jp/",,,고기 요리 전문,이용 가능한 맥주,사용 가능한 예약,"저녁 식사, 쌀, 고기, 환영 파티, 전산, 사적, 작별 파티, 첫 번째 열차까지 개장하고, 급여표 포인트, 온라인 예약 가능, 캐주얼
다른 사용 장면을 참조하십시오",예,예,03-3518-5275,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001763011/archive/3471169-67500d09924a7.jpg,,예,,,"전자 돈을 사용할 수 있습니다

(운송 전자 자금 (Suica 등), Rakuten Edy, Nanaco, Waon, Id, Quicpay)

QR 코드 결제는 불가능합니다",,"Suica, Rakuten Edy, Waon, Quicpay",,,,,,,,
神田のまぐろトラエモン 神田駅前店,Kanda Tuna Toraemon Kanda Ekimae 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001274763/,050-5303-4914,이자카야 핫팟 해산물/해산물 사시미 일본 요리 일본 요리,"[하루 종일]
 17:00-23:00 L.O. 22:00","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
1 월 1 일은 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Hiroei Building B1 및 B2, 1-7-4 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (94m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 4 분 (310m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (470m)",없음,130 석,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",예,https://toraemon-kanda.com/,,https://www.facebook.com/toraemonkanda/,우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"연회 및 음주 파티 점심 음주, 쌀, 개인 실, 엔터테인먼트, 술, 모든 흠집, 여자 밤, 쿠폰 이용 가능, 이용 가능, 온라인 예약 가능, 연말 파티, 새해 파티, 저녁 식사, 캐주얼, 세련된 파티
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,03-5244-4063,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001274763/archive/73339-5804341fa71bd.jpg,PayPay,없음,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink Course에는 5,000 엔 이상, All-You-Can-Drink","서비스 요금 : LA Carte를 주문할 때만 5%
청구 수수료 : LA Carte, 400 엔 (세금 제외)을 주문할 때만",불가능합니다,,https://x.com/toraemon_kanda,"놀라운 응답 가능
축하 가능성","개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳","영어 중국어
언어 지원 메뉴가 있습니다",평상복,,,
屋台酒場バッテン,푸드 스톨 바 batten,https://retty.me/area/PRE13/ARE11/SUB1101/100001716873/,050-5462-5558,이자카야 한국 요리,"[월요일 ~ 목요일]
저녁 식사 15 : 30-25 : 00 L.O. 24:30
[금요일/휴가 전]
저녁 식사 15 : 30-27 : 00 L.O. 26:30
[토양]
저녁 식사 15:00-25:00 L.O. 24:30
[일요일과 휴일]
저녁 식사 15:00-24:00 L.O. 23:30
*황금 주간 개장 시간*
첫 번째 (목요일) 4시 25pm, 2 위 (금요일) 오후 4시-오후 3시-오후 3시 -3시 -3시-오후 3시-오후 3시, 오후 4시, 오후 4시 (일요일) 4 pm-3pm, 5th (월) 오후 3시 (Tue) 6th (3 pm-24pm) 6 위",,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Kanda Royal Building B1F, 3-10-3 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (150m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (480m)
도쿄 메트로 마루치 노선 / 오타 마시 (도쿄) 역에서 도보로 7 분 거리 (490m)",예,"45 석
([최대 50 명이 참여할 수 있습니다!] 우리는 개인 파티를 수용 할 수 있으므로 언제든지 전화하십시오.)","예
완전히 흡연이 허용됩니다
(흡연을위한 저장)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
최대 42 명을 임대 할 수 있습니다","[공식적인]
https://yataisakababatten.foodre.jp/",https://www.instagram.com/batten_yataisakaba/,,"우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 매우 매운 메뉴 및 매장 내 준비에 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"환영 파티 전 만세 담배 흡연 허용 연회 및 음주 파티 디너 페이 페이 지불 신속한 연말-엔드 파티를받는 연말 지불 포인트 온라인 예약 가능 인기 상점 예약 캐주얼 신속한 새해 파티 작별 파티
다른 사용 장면을 참조하십시오",예,예,03-3518-5516,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001716873/archive/33054-6634B08D5132.jpg,PayPay,없음,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 엔세 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 1 시간 반 동안 all-you-can-drink, 2 시간 반 동안 모두 당신이 온전한 링크, 2 시간 반 동안 모두 3 시간 동안, 3 시간 동안, 3 시간 반 마감, 3 시간 반 마감, 3 시간 반 마감 3 시간 반 동안 만약을 모두 마시십시오.",,불가능합니다,,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다","개방성이 있습니다
활발한 상점
단독 주택 레스토랑
숨는 곳",,,불가능합니다,,
トラットリア カンティーニ,트라 토리아 칸 티니,https://retty.me/area/PRE13/ARE11/SUB1101/100000044699/,03-3295-5051,이탈리아 요리 파스타 비스트로 서부 요리,"[Sun, Friday, Saturday 및 Holidays]
저녁 식사 17:00-19:30 L.O. 22:00
[태양, 토요일, 휴일]
점심 11:30-13:00 L.O. 15:30
공휴일은 일시적으로 폐쇄 될 수 있습니다","매주 화요일마다 매주 수요일마다 매주 목요일마다
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.
예약이 필요합니다
공휴일에 개장하는 것은 불규칙합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,"Kanda KM Building 1f, 11-1 Kanda Midoshirocho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 (270m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (270m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 7 분 거리 (500m)",,24 석,"불가능합니다
(완전히 금연 (흡연은 개인 용도로만 허용됩니다))))))))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://trattoria-kantini.foodre.jp/
http://kantini2008.net/",,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된 점심, 지불금 지불 가능, 급여 판매 포인트, 온라인 예약 가능, 연말 파티
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000044699/archive/3441392-6727a2f84a388.png,PayPay,없음,,,,,,,,,,,,,
伊藤課長 神田店,Ito Kanda 매장 관리자,https://retty.me/area/PRE13/ARE11/SUB1101/100000756952/,050-5303-4939,이자카야 야키니 쿠,"[하루 종일]
점심 11:00-14:00
저녁 식사 16:00-24:00
마감 시간은 하루에 따라 다를 수 있습니다","1 월 1 일, 1 월 2 일, 1 월 3 일, 12 월 31 일, 12 월 31 일","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","2-11-17 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 5 분 도보 (350m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 6 분 (460m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (530m)","없음
근처 (할인 없음) 사용 가능",40 석,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,,https://www.ac,"우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 주인 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 시간에 술, 흡연 허용, 환영 파티, 아이들과의 즐거움, 생일, 개인 용도, 연회 및 음주 파티, 맛있는 레스토랑, 쿠폰, 쿠폰, 급여 지불, 연말 파티, 새해 파티, 점심, 저녁 식사
다른 사용 장면을 참조하십시오","예
미취학 아동이 허용되며 초등학생은 허용됩니다",없음,03-5289-9029,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000756952/archive/689028-5c517ed1ead89.jpg,PayPay,예,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","전적으로 마감하는 가격 : 1,000-1,999 엔, 4,000-4,999 엔 (4,000-4,999 엔), 5,000 엔 이상의 싱크 링크, 2 시간 동안 2 시간 동안 온전한 링크, 2 시간 반 동안 온전한 링크",,,,,"놀라운 응답 가능
축하 가능성",골목을 향합니다,"영어 중국어
언어 지원 메뉴가 있습니다",,,,
日本酒と創作糠漬 KURARA神田,Sake and Creative Syrup Pickles Kurara Kanda,https://retty.me/area/PRE13/ARE11/SUB1101/100001473701/,050-5303-9579,이자카야,"[월요일부터 금요일까지]
저녁 식사 17:00-2:00
[토양]
저녁 식사 17:00-24:00","매주 일요일과 공휴일
토요일에는 불규칙적으로 폐쇄되었습니다","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",예,"36 Kanda Konyacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (290m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (430m)",,26 석,"불가능합니다
(외부에는 흡연 공간이 있지만 상점 내부에는 흡연이 금지됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://kurara-kanda.foodre.jp/
https://kurara-sake.com/",,https://www.facebook.com/kurara.kanda.sake/,,,,"Farewell Party, 솔로 손님이 이용할 수 있고, 늦은 밤에 오픈, 음료수, 고기, 연회 및 음료 파티, 급여 지불 지불, 저녁 식사, 쌀, 성인의 연말 파티, 세련된, 성인의 날짜, 새해 파티, 급여 판매 포인트를 얻으십시오.
다른 사용 장면을 참조하십시오",,,03-3525-8397,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001473701/archive/1167291-5d956820f1e1f.jpg,PayPay,예,,,,,,,,,,,,,
炭火串焼 バル YTD,숯 구이 꼬치 바 Ytd,https://retty.me/area/PRE13/ARE11/SUB1101/100001318389/,050-5303-8046,이자카야 야키토리 바,"[월요일부터 금요일과 토요일]
 18:00-24:00 L.O. 23:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일과 공휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","2-11-18 Kajicho, Chiyoda-ku, 도쿄, Jr 고가 Kajicho 2-Chome Kyodo Building B, Building 2, 1st 및 2nd Floors
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (300m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)",없음,"22 석
(1 층 (약 8 명)의 스탠드 음주 (약 8 명) 2 층 (14 석)의 테이블 좌석)","예
완전히 흡연이 허용됩니다
(흡연은 11:30에서 13:30까지 완전히 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 11 명
예약 할 수있는 제한된 수의 사람들 : 14 명",,,,고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 객실, 싱글 룸, 저녁 식사, 성인 은신처, 저녁 식사, 흡연 허용, 연회 및 음주 파티, 모든 링크, 환영 파티, 엔터테인먼트, 점심, 후주, 맛있는 레스토랑 및 저렴한 레스토랑, 쿠폰, 쿠폰 이용 가능, 연말 파티, 새해-파티, 캐주얼
다른 사용 장면을 참조하십시오",예,예,03-6884-4981,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001318389/archive/2238881-602F7F26727B1.png,PayPay,예,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔으로 인한 모든 코스와 5,000 엔 이상을위한 all-you-can-drink, 2 시간 동안, 2 시간 반 동안 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",11 명을 대상으로 이용할 수있는 개인 예약 (상담 필수),,,,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성","활발한 상점
차분한 분위기
단독 주택 레스토랑
숨는 곳
골목을 향합니다",,없음,사용 가능 (충전 가능),TV 및 모니터 사용 가능,
肝料理と海鮮の店 坂下,간 요리와 해산물을 제공하는 식당 인 Sakashita,https://retty.me/area/PRE13/ARE11/SUB1101/100001727370/,050-5462-4945,이자카야 해산물과 해산물,"[월요일부터 금요일까지]
저녁 식사 17 : 30-23 : 30","매주 토요일마다 일요일 휴가
새해 휴일 12/30-1/3","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","1-16-2 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (320m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (320m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역 (320m)에서 도보로 4 분",없음,19 석,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 가능 (좌석) : 19 명","[공식적인]
https://bange.foodre.jp/",https://www.instagram.com/bange.sakashita,,그는 물고기 요리에 대해 특별히 있으며 주인 요리사,사케와 쇼치,사용 가능한 예약,"저녁 식사, 식사, 환영 파티, 솔로, all-you-can-drink, casual, paypay 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,없음,03-4400-1610,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001727370/archive/3237834-65b8e06d84d62.jpg,,예,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 코스에는 5,000 엔 이상의 링크, 2 시간 30 분 동안 만약이 포함되어 있으며 3 시간 이상 동안 온전한 링크가 포함됩니다.",,,,,,"차분한 분위기
골목을 향합니다",,,,,
大手町 ZION,오타 마시 시온,https://retty.me/area/PRE13/ARE11/SUB1101/100001235973/,050-5462-7851,이탈리아 스페인어,"[월요일부터 금요일까지, 휴일]
저녁 식사 17:00-22:30 L.O. 21:30
[태양/토요일]
저녁 식사 14:00-22:30 L.O. 21:30
건물 유지 보수 등으로 인해 영업 시간이 다를 수 있습니다.","불규칙한 휴일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",불가능합니다,"1f Arte Otemachi, 1-5-16 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (390m)
JR Yamanote Line / Kanda (도쿄) 역 7 분 도보 (530m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 8 분 (630m)",예,"42 석
((4 ~ 28 개의 소파 좌석, 3 ~ 5 개의 테이블 좌석, 1 카운터, 2 ~ 5 개의 개인 실, 2 개의 좌석 2 개))))))","불가능합니다
(상점 외부에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명",,"[공식적인]
https://ootemachi-zion.foodre.jp/",,,,,,"데이트 여자 파티 모든 싱글 링크 연회/음주 파티 개인 객실 약혼 저녁 식사 좋아하는 독신 사람들을위한 오락 성인을위한 엔터테인먼트 숨겨진 이용 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,예,03-5244-5682,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001235973/archive/3454751-6739a9bb2d012.jpg,,예,,,"저녁 식사 테이블 충전 ¥ 500 (Amuse 제공)
서비스 요금은 오후 9시 이후 10% (코스 사용법이 적용되지 않음)
*3 월과 12 월에 크리스마스 코스에 대해 10%의 청구가 필요합니다.",,,,,,,,,,
