restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,remarks,cooking_specialties,reservation,usage_scenes,wifi_available,video,ic_card_payment,facebook,lecture,available_drinks,drinking_specialties,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,phone_number,instagram,foreign_language_support,additional_equipment,twitter,beer_maker,인근 시설
浜松町キッチン,Hamamatsucho 주방,https://retty.me/area/PRE13/ARE16/SUB1602/100001547374/,050-5462-2926,식당 바 크래프트 맥주 바 크리에이티브 푸드 바,"[월요일부터 금요일까지]
 16:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
 15:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,,"Hamamatsucho FG 빌딩, 1-30-11 Hamamatsucho, Minato-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 1 분 거리 (43m)
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (130m)
Toei Mita Line / Onarimon Station에서 도보로 9 분 (670m)",예,112 석,,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://kitchen.dkdining.com/hamamatsucho/,좌석 수수료가 있습니다. (코스 당시 가격에 포함),고기 요리 전문,,"저녁 식사 전후-점화 된 연회 및 음주 파티를받는 PayPay Points 온라인 예약 가능 새해 파티 새해 파티 점심 식사 개인 방을 마시는 개인 방 캐주얼 새해 파티 빠른 새해 파티 연말 파티 빠른 새해 파티
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001547374/archive/3023308-5eb7f5a9724e.png,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca",,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","맥주, 와인, 위스키, 칵테일","활발한 상점
차분한 분위기","놀라운 응답 가능
축하 가능성",,,,,050-2018-8784,,,,,,
おでん屋たけし三田店,Odenya Takeshi Mita 지점,https://retty.me/area/PRE13/ARE16/SUB1602/100001670394/,050-5462-7835,이자카야 일본 음식 야키토리,"[월요일부터 금요일까지]
 17:00-23:00
[태양, 토요일, 휴일]
 15:00-23:00
자세한 내용은 공식 웹 사이트를 확인하십시오.",,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당",PayPay,"하우스 하나다 건물 1f, 5-26-4 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (150m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (670m)","없음
근처 (할인 없음) 사용 가능","23 석
(14 개의 테이블 좌석)","예
(카운터에서 9 석)","불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://oden-mita.foodre.jp/
https://alwayssaisei.co.jp/",,,,한 사람 OK 저녁 식사 저녁 식사 연회 및 음주 파티 급여 지불 지불 가능 온라인 예약 가능,없음,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001670394/archive/354827-67d37a618489.jpg,,,,,"맥주, 사케, 쇼치","활발한 상점
골목을 향합니다",,없음,,,불가능합니다,03-6453-6670,https://www.instagram.com/odenyatakeshi/,,,,,
名物厚切り牛タンとレアカツ 全席個室居酒屋 二ちょう 浜松町店,"유명한 두꺼운 쇠고기 혀와 희귀 표고, 모든 좌석 개인 Izakaya Nichou Hamamatsucho Branch",https://retty.me/area/PRE13/ARE16/SUB1602/100001740021/,050-5462-5577,이자카야 쇠고기 혀,"[하루 종일]
 15:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex",,"5 층, Imon Hamamatsucho Building, 2-5-8 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Hamamatsucho Station에서 도보 2 분 (95m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (260m)
Yurikamome / Hinode Station에서 도보로 8 분 (630m)",없음,99 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://nicho.foodre.jp/",,,,"라이스, 애프터 파티, 저녁 식사, 개인 실, 흡연 허용, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 캐주얼, PayPay 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001740021/archive/3584653-6800d9823ad05.png,,,,,,,,,,,,03-6459-0638,,,,,,
鮮魚×和牛×地鶏 和食郷土料理 個室居酒屋 菜摘 浜松町店,신선,https://retty.me/area/PRE13/ARE16/SUB1602/100001740024/,050-5462-5579,이자카야 소바 (Soba),"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 15:00-23:00
[낮]
 14:00-24:00 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
JCB",,"Imon Hamamatsucho Building 5f, 2-5-8 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Hamamatsucho Station에서 도보 2 분 (95m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (260m)
Yurikamome / Hinode Station에서 도보로 8 분 (630m)",없음,"100 석
((2 명으로 그룹에 이용할 수있는 모든 개인 실))))))",없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 80 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","[공식적인]
https://natsumi-hamamatucho.foodre.jp/",사용 가능 : PayPay,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.",사용 가능한 예약,"마시는 점심, 개인 실, 저녁 식사, 엔터테인먼트, 식사, 모든 링크, 환영 파티, 캐주얼, 페이 페이 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001740024/archive/3463890-674585B443B7d.jpg,,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","전 만점 가격 : 1,000-1,999 엔, 4,000-4,999 엔 (4,000-4,999 엔), 5,000 엔 이상에서 온 탁월한 링크, 2 시간 동안 2 시간 동안 싱글 링크, 3 시간 또는 더 많은 링크, 3 시간 또는 더 많은 링크","맥주, 사케, 쇼치, 칵테일, awamori가 있습니다","개방성이 있습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,03-6459-0637,,,,,,
東海飯店 大門本店,Tokai Restaurant Daimon Main Store,https://retty.me/area/PRE13/ARE16/SUB1602/100000038389/,050-5462-4358,중국 음식 이자카야,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11:00-15:00 L.O. 14:45
[월요일부터 목요일, 휴일 전]
저녁 식사 17:00-22:30 L.O. 22:00
[금]
저녁 식사 17:00-23:00 L.O. 22:15
[토요일/휴일]
저녁 식사 17:00-21:30 L.O. 20:50",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"2-4-18 Shibadaimon, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 1 분 거리 (56m)
JR Yamanote Line / Hamamatsucho Station 5 분 도보 (350m)
Toei Mita Line / Shibakoen Station 7 분 도보 (560m)","없음
근처 (할인 없음) 사용 가능",250 석,없음,"불가능합니다
(흡연은 좌석에서는 허용되지 않지만 전자 담배를위한 흡연실이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 가능 (좌석) : 80 명","[공식적인]
https://toukaihanten-daimonhonten.foodre.jp/","・ 호환 QR 코드 결제 : PayPay, LinePay, RakutenPay, DPay, Aupay","우리는 야채 요리, 고기 요리, 알레르기, 매우 매운 메뉴로 고객을 수용 할 수 있으며 매장 내에서 준비 할 수 있습니다.",사용 가능한 예약,"점심, 쌀, 점심, 냉담한 음식, 전산, 사냥개, 개인 객실, 약혼식, 디너 파티, 솔로 환영 파티, 환영 파티, 크리스마스 저녁 식사, 새해 파티, 음료수, 와인, 주차, 아이들과 함께 즐기십시오
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000038389/archive/2507306-616e328a5c3ef.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",https://www.facebook.com/toukaihanten/,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 5,000 엔 이상을 포함한 코스, 2 시간 동안 모든 곡선을 링크하고, 2 시간 반 동안 싱글 링크, 3 시간 이상 만난 링크","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",,"놀라운 응답 가능
테이크 아웃 가능성
배송 가능",평상복,"예
초등학생은 환영합니다. 이유식을 가져올 수 있으며 알레르기 식품을 수용 할 수 있습니다.",불가능합니다,예 (무료),03-6403-4697,https://www.instagram.com/toukaihanten/,"영어 중국어
언어 지원 메뉴가 있습니다",프로젝터 포함,https://x.com/toukaijp,,
全席個室 鶏屋むさし 浜松町店,"모든 좌석 개인 실, Toriya Musashi Hamamatsucho 매장",https://retty.me/area/PRE13/ARE16/SUB1602/100001606354/,050-5462-7868,이자카야,"[선, 월요일부터 목요일, 휴일]
 15:00-0:00 L.O. 23:00
[금요일/휴가 전]
 15:00-2:00 L.O. 1:00
[토양]
 15:00-0:00
・ 월요일 ~ 목요일, 일요일 및 공휴일 : 오후 3시 - 오전 0:00 am the 다음날
(요리 L.O. 23:00 음료 L.O. 23:30) ・ 금요일, 공휴일 전날 : 3:00 pm -2:00 am the 다음 날
(L.O. 1:00 다음 날 요리 L.O. 1:30 다음 날 마시기) ・ 토요일 : 15:00 ~ 0:00 다음 날
(다음 날 요리 L.O. 0:00, L.O. 23:30 음료)",불규칙한 휴일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6 층, Ex-II 건물, 1-28-13 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 1 분 거리 (65m)
JR Yamanote Line / Hamamatsucho Station 3 분 도보 (200m)
Toei Mita Line / Onarimon 역에서 도보로 8 분 (580m)",,100 석,없음,"예
(모든 좌석은 허용되고, 흡연 가능, 흡연 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://musashi-hamamamatsucho.foodre.jp/
https://akr1057005713.owst.jp/",,,,"저녁 식사, 쌀, 전산, 개인 실, 흡연, 흡연, 엔터테인먼트, 세련된 개인 실, 개인 실, 엔터테인먼트, 늦은 밤, 급여 지불 제공, 연회 및 음주 파티, 환영 파티, 점심, 음료수, 음료수, Paypay Points
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001606354/archive/3548252-67d2bb6a4fc49.jpg,,,,,,,,,,,,03-6435-7177,,,,,,
焼鳥と地鶏と牛タン 個室居酒屋 スミビヤ田町本店,"야키토리, 현지 닭고기 및 쇠고기 혀 개인 실 Izakaya sumibiya tamachi 메인 스토어",https://retty.me/area/PRE13/ARE16/SUB1602/100001744237/,050-5462-7827,이자카야 야키토리,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 12:00-2:00 L.O. 1:30
[금요일/휴가 전]
 12:00-5:00 L.O. 4:30
불규칙한 휴일",불규칙한 휴일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",PayPay,"5-20-202F 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보 2 분 (120m)
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (220m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (580m)",없음,"110 석
(우리는 1 층과 2 층에 바닥이 있으며 크고 작은 개인 실이 있습니다!)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://sumibiya-tamachi.foodre.jp/",,우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,사용 가능한 예약,"점심, 개인 객실, 저녁 식사, 엔터테인먼트, 여자 파티, Paypay Paysial, 연회 및 음주 파티, 환영 파티, 고기, 쇼치, 술을 마시기, 급여표 포인트, 온라인 예약, 인기있는 레스토랑
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001744237/archive/355054-67d5acd187af5.jpg,,,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","999 엔 미만의 전 만화 가격, 전 ALL-YOU-CAN-DRINK 가격 1000-1999 엔, 3000-3999 엔, ALL-YOU-CAN-DRINK 코스에는 4000-4999 엔을위한 All-You-Can-Drink가 포함되며, 5000 YEN 또는 그 이상에 대한 전 만점이 포함됩니다.",맥주와 술이 있습니다,,,,예,,,080-4915-5571,,"영어
언어 지원 메뉴가 있습니다",,,,
和食と蕎麦 個室居酒屋 竹蔵 浜松町店,일본 요리와 소바 개인이자 카야 테이 조 하마 마츠 cho 지점,https://retty.me/area/PRE13/ARE16/SUB1602/100001400617/,050-5462-7867,이자카야 소바 (Soba),"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 16:00-0:00
요리 L.O. 23:00 음료 L.O. 23:30",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Moon Street Daimon의 4 층, 1-28-13 Hamamatsucho, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Shibakoen Station 5 분 도보 (330m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 5 분 거리 (340m)
JR Yamanote Line / Hamamatsucho Station 6 분 도보 (430m)",없음,100 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://takezo-hamatsu.foodre.jp/
https://koshitsutakezo.owst.jp/",,"우리는 야채 요리, 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.",,"개인 객실 저녁 식사 엔터테인먼트 소녀 파티 저녁 식사 all-you-can-drink 연회/음주 파티 약혼 저녁 식사 싱글을위한 좋아요 파티를 환영합니다.
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001400617/archive/1834203-5f51341c1b3b6.jpg,,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 all-you-can-drink, all-you-can-drink 코스, 3,000 엔 -3,999 엔, All-You-can-drink 코스를 이용할 수 있습니다. 2 시간, 2 시간 30 분 동안 all-you-can-drink, 3 시간 이상 동안 당신이 흠뻑 젖어","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","개방성이 있습니다
조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,불가능합니다,03-3436-3475,,,,,,
全席個室 阿波尾鶏の水炊き×旬の海鮮 和食郷土料理 いち藤 浜松町本店,모든 좌석이있는 개인 실 : Awao Chicken Sukiyaki x 계절 해산물 일본 요리 현지 요리 Ichifuji Hamamatsucho Main Store,https://retty.me/area/PRE13/ARE16/SUB1602/100001696371/,050-5462-3252,이자카야,"[하루 종일]
저녁 식사 16:00-24:00
점심 연회 예약도 환영합니다!
예산, 사람 수 및 요청으로 저희에게 연락하십시오!",불규칙한 휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Imon Hamamatsucho Building 3F, 2-5-8 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (91m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (260m)
Yurikamome / Takeshiba 역에서 도보로 8 분 (630m)",예,"100 석
((모든 좌석은 개인입니다! 2 명이 그룹으로 제공 될 수 있습니다!)))))))))))",없음,"예
완전히 흡연이 허용됩니다
(개인 객실은 별도의 흡연 구역에서 사용할 수 있습니다. 자세한 내용은 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","[공식적인]
https://ichifuji.foodre.jp/",,"우리는 야채 요리, 고기 요리, 생선 요리 및 현지 재료에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.",사용 가능한 예약,"점심, 개인 실, 저녁 식사, 저녁 식사, 엔터테인먼트, 흡연 허용, 연말 파티, 새해 파티, Paypay Points, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001696371/archive/3594850-680f3d9f186ce.jpg,,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, 3,000-3,999 엔, ALL-YOU-CAN-DRINK 코스에는 4,000-4,999 YEN에 대한 All-You-Can-Drink, All-You-Can-Drink Course for 5,000-yen-con-drince를 포함합니다. 2 시간, 모두 3 시간 이상 마실","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","개방성이 있습니다
차분한 분위기
숨는 곳
골목을 향합니다",,,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,03-6453-0091,,,,,,
馬並み家 三田本店,말과 같은 집 미타 메인 매장,https://retty.me/area/PRE13/ARE16/SUB1602/100001604026/,050-5304-3738,이자카야 핫팟 말 고기 요리,"[월요일부터 금요일까지]
 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 15:00-23:30 L.O. 22:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1st Bardement Floor, 건축 홀, 5-26-20 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (81m)
JR Yamanote Line / Tamachi (도쿄) 역 3 분 (220m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (640m)",없음,47 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://www.dd-holdings.jp/shops/umanamiya/mita#/,"다른 지불 방법
카드 : UnionPay
전자 돈 : ID
QR 지불 : Paypay, Rakuten Pay, DPay, Aupay, Merpay, Wechatpay, Alipay, Bank Pay",고기 요리 전문,사용 가능한 예약,"데이트 고기 저녁 식사 새해 파티 연말-연말 파이
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001604026/archive/256858-61adeca587a85.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",,"6,000 엔에서 6,999 엔으로 구입할 수 있습니다",,"맥주, 사케, 쇼치, 와인, 칵테일",,,,,,,03-5730-1452,,,,,,
龍祥軒 芝本店,Ryushoken Shiba Honten,https://retty.me/area/PRE13/ARE16/SUB1602/100000014680/,050-5462-7024,중국 음식 Gyoza Izakaya,"[월요일부터 금요일과 토요일]
점심 11:00-15:00
[월요일부터 금요일까지]
 17:00-23:00","불규칙한 휴일
불규칙한 휴일, 골든 위크, 오본 및 새해 휴일","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",Amex,PayPay,"Shiba Mn Building, 2-16-3 Shiba, Minato-Ku, 도쿄 1 층 및 2 층
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Shibakoen Station 4 분 도보 (310m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 7 분 거리 (490m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 8 분 거리 (600m)",,"90 석
(80)",없음,"예
(흡연 없음 점심, 저녁 흡연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://ryushohken-honten.foodre.jp/",,,,"점심, 저녁 식사, 저녁 식사, 연회 및 음료, 개인 실, 흡연 허용, 개인 실, 매우 매운, 급여 지불 지불, 급여 지불 포인트, 온라인 예약 이용 가능, 전산 된 점점, 캐주얼, 신속한 새해 파티, 빠른 연말 파티, 작별 파티
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000014680/archive/3444501-672c40238485.jpg,,,,,,,,,,,,03-3453-7565,,,,,,
