식당 이름,번역된 식당 이름,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
ごんべえ,Gonbe,050-5304-5442,이자카야 해산물과 해산물 요리 일본 요리 카포/작은 레스토랑 해산물 그릇,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:30","하루 종일 개점
12/31 및 1/1에 닫혔습니다","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"31-3 Udagawacho, Shibuya-Ku, 도쿄, B1F Daisan Tanaka 건물
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (240m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (640m)","없음
근처 (할인 없음) 사용 가능",70 석,예,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(가열 된 담배는 개인 실에만 괜찮습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",예,,,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","전산 된 가격 : 2,000-2,999 엔, 4,000-4,999 엔의 싱크 링크, 5,000 엔 이상의 싱글 링크, 2 시간 동안 all-you-can-drink","우리는 야채 요리, 생선 요리 및 재료를 생산하며 알레르기가있는 고객을 수용 할 수 있으며 요리사는 유명한 식당에서 훈련을 받았으며 매장 내 준비를했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"술, 쌀, 고기, 작별 파티, 솔로 환영, 엔터테인먼트, 개인 실, 개인 실, 저녁 식사, 연회 및 음주 파티, 환영 파티, 예약 할 수 있고, 늦은 밤에 열리고, 날짜, 성인 가이드, 이용 가능, 온라인 예약 가능, 온라인 예약 가능
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,예 (무료),예,언어 지원 메뉴가 있습니다,03-3461-8383,,,,,,,,
トウキョウ サロナード カフェ ダブ,도쿄 살로네이드 카페 더빙,050-5303-0353,카페,"[하루 종일]
 12:00-23:00 L.O. 22:00
예약 시점부터 10 분 이상 전화를받지 않으면 주문을 취소합니다.
지연이 있으시면 저희에게 연락하십시오.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",예,PayPay,"2f Fuji Shoji Building, 1-11-3 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (87m)
Keio Inokashira Line / Shinsen 역에서 도보 8 분 (570m)",없음,70 석,없음,"예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","https://tokyosalonardcafedub.foodre.jp/
https://renovationplanning.co.jp/",,"2,999 엔 미만의 코스",,,와인과 칵테일이 있습니다,사용 가능한 예약,"저녁 식사, 쌀, 생일, 점심, 데이트, all-you-can-drink, 성인 은신처, 세련된, 음료 와인, 흡연, 점심 날짜, 여자의 밤, 세련된 점심, 무료 와이파이, 여자의 밤, 야간 카페, 지불금 지불 가능
다른 사용 장면을 참조하십시오",숨는 곳,"놀라운 응답 가능
축하 가능성",,예,,,,"영어
언어 지원 메뉴가 있습니다",03-3463-0724,,,,,,,,
近江うし焼肉 にくTATSU 渋谷店,OMI USHI YAKINIKU NIKU TATSU SHIBUYA 지점,050-5304-3472,스테이크 야키 니쿠,"[월요일 ~ 목요일]
저녁 식사 16:00-23:00 L.O. 22:30
[금과 앉았다]
 11:30-23:00 L.O. 22:30
[일요일과 휴일]
 11:30-22:00 L.O. 21:00",새해 휴일 (확인하십시오),"점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-20-15 Jinnan, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)","없음
근처 (할인 없음) 사용 가능",51 석,,"불가능합니다
(상점의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,"[공식적인]
https://nikutatsu-shibuya.foodre.jp/
https://nikutatsu-shibuya.com/","PayPay, DPay, AuPay 지불이 가능합니다","7,000 엔 ~ 7,999 엔 코스, 8,000 엔 코스 이상으로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 온 맨 링크","우리는 고기 요리에 대해 특히, 알레르기가있는 고객을 수용 할 수 있으며, 어린이를위한 메뉴, 매우 매운 메뉴, 매장 내에서 준비된 메뉴를 갖추고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 어린이, 개인 실, 솔로 손님, 개인 실, 세련된 점심, 지불금 지불, 새해 파티, 작별 파티, 환영 파티, 점심 음주, 크리스마스 2024, 성인 연말 파티, 스타일리쉬
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생을 환영하고, 이유식을 가져오고, 어린이 메뉴를 이용할 수 있고, 알레르기 음식을 수용 할 수 있습니다",불가능합니다,예 (무료),예,언어를 말할 수있는 직원이 있습니다,03-5489-2911,,,,,,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,
カプリチョーザ 渋谷本店,Capricciosa Shibuya 메인 매장,050-5262-3709,이탈리아 음식 테이크 아웃 파스타 피자,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:30","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
2024 년 12 월 31 일 화요일에 문을 닫았습니다
2025 년 1 월 1 일 수요일에 문을 닫았습니다
1 월 2 일 목요일, 11 : 00-15 : 00 (L.O. 14:30) 17 : 00-21 : 00 (L.O. 20:30)
1 월 3 일 금요일 - 정규 업무 시간","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"카미니토 빌딩 1f, 1-3-1 Higashi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (490m)
도쿄 메트로 진 자 라인 / 오모 테산도 (770m)에서 도보로 10 분","없음
근처 (할인 없음) 사용 가능",40 석,,,없음,예,"https://www.capricciosa.co.jp/
https://capricciosa.com/","∎ 가게의 사인은 Kanji 캐릭터 ""Hamiri Choza""로 작성되었습니다.
・ PayPay Line Pay D 포인트를 사용할 수 있습니다","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",,"어린이 메뉴 사용 가능, 매장 내","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 솔로, 저녁 식사, 쌀, 급여 지불 지불, 급여표 포인트, 온라인 예약 가능, 연말 파티, 크리스마스 저녁, 새해 파티, 인기있는 상점 예약
다른 사용 장면을 참조하십시오",숨는 곳,"축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
유치원 어린이는 환영하고 초등학생은 환영하며 어린이 메뉴를 이용할 수 있습니다.",불가능합니다,불가능합니다,예,"영어
언어 지원 메뉴가 있습니다",03-3407-9482,https://capricciosa-saiyo.net/brand-jobfind/area/kanto/tokyo/13113,,,,,"Suica, Manaca, Toica, Icoca, Nimoca, Sugoca, Waon",,
世界の山ちゃん渋谷センター街店,세계 산맥 시부야 센터 스트리트 매장,050-5462-3315,이자카야,"[월요일 ~ 목요일]
 17:00-0:00
[금요일/휴가 전]
 17:00-4:00
[토양]
 16:00-4:00
[일요일과 휴일]
 16:00-0:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"Horaiya Building 2F, 30-1 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 도보 2 분 (150m)",예,74 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"https://yamachan-shibuya.foodre.jp/
https://www.yamachan.co.jp/shop/tokyo/shibuya.php",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","3,000 엔에서 3,999 엔을위한 모든 코스와 4,000 엔에서 4,999 엔을위한 모든 코스, 그리고 5,000 엔, 2 시간 동안 전적으로 만약을 포함한 코스가 포함 된 코스가 포함되어있는 코스가 있습니다.","우리는 고기 요리에 대해 특히, 알레르기가있는 고객을 수용 할 수 있으며, 매운 메뉴가 있고 매장 내에서 준비된 준비가되어 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"음식을 마시는 아이들과 함께 즐거운 시간 저녁 식사 여학생의 밤 연회 및 술을 마시는 파티 고기 페이 페이 지불 이용 가능 새해 파티 all-you-can-drink 인기있는 레스토랑 온라인 예약 가능
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,불가능합니다,없음,"영어 중국어
언어 지원 메뉴가 있습니다",03-6416-3491,,,,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca",,
和牛食べ放題専門店 個室完備 焼肉サムライ 侍～SAMURAI～渋谷店,개인 실이있는 일본 쇠고기 전문점 야키니 쿠 사무라이 사무라이 ~ 사무라이 ~ 시부야 지점,050-5462-4162,야키니쿠 호르몬 이자카야,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"시부야 에메랄드 빌딩 4F, 12-7 우다 가와치, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (240m)","없음
근처 (할인 없음) 사용 가능","60 석
(두 사람을위한 개인 실은 이용할 수 없습니다.)",없음,"연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 60 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 70 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","전산 된 점점 : 2,000-2,999 엔, 2,999 엔 미만의 all-you-can-drink 코스, 3,000-3,999 엔 미만의 all-rink 코스, 4,000-4,999 엔, 5,000-wally yen 또는 all-you-can-drink courss at all-you-can-drink 코스. 2,55-you-can-drink 시간, 싱글 링크 시간 이상, 끊임없는 시간 이상, 시간이 지나면 시간이 지나면 시간 이상","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 채식 메뉴, 매우 매운 메뉴, 요리사는 해외 훈련 경험, 유명한 요리사의 요리, 주인 요리사 및 매장 내 준비에 대해 특히 알고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"모든 고기 고기, 개인 실, 전산 된 링크, 지불금 지불 가능, 지불금 포인트, 온라인 예약 가능, 연말 파티, 새해 파티, 인기있는 레스토랑, 크리스마스 2024, 세련된, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",평상복,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,예 (무료),예,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",03-6455-2390,,,,,,,,
スズカフェ 神南,수즈 카페 진난,050-5303-7316,카페 과자 파스타 테이크 아웃,"[하루 종일]
점심 12:00-15:00 L.O. 15:00
저녁 식사 15:00-23:00 L.O. 22:30
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
새해 휴일 (확인하십시오)
12/31-1/1","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-20-4 Jinnan, Shibuya-Ku, 도쿄 Vort Shibuya Briller 3f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (230m)",없음,"75 석
(푹신한 소파 좌석도 있습니다)",없음,"불가능합니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)","[공식적인]
https://suzukafe-jinnan.foodre.jp/
https://www.completecircle.co.jp/suzucafe",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,"쇼 쿠, 와인, 칵테일",사용 가능한 예약,"어린이 생일 식사, 점심, 고기, 저녁 식사, 냉담한 링크, 와인 음료, 그룹 데이트, 혼자 마시기, 여자 밤, 쿠폰 이용 가능, 이용 가능, 작별 파티, 환영 파티, 인기있는 식당 예약을 즐기십시오.
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",,예,불가능합니다,,예,언어 지원 메뉴가 있습니다,03-5428-3739,,,,,https://www.instagram.com/suzucafejinnan/,,,
もうやんカレー 246 渋谷店,Moyan Curry 246 Shibuya Branch,050-5462-2922,미트 바 커리 이자카야 테이크 아웃,"[하루 종일]
점심 11:30-15:30 L.O. 15:00
[월요일부터 금요일, 토요일, 휴일]
저녁 식사 18:00-23:00 L.O. 22:30
[낮]
저녁 식사 17:30-22:30 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)
골든 위크, 오본","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f Seven Heights, 1-7-5 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 6 분 (430m)
도쿄 메트로 진 자 라인 / 오모 테산도 (Omotesando Station)에서 도보로 9 분 (660m)",없음,50 석,예,,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명","[공식적인]
https://moyan-shibuya.foodre.jp/
https://www.moyan.jp/shibuya/",,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 3 시간 이상 동안 온 맨 링크",야채 요리 전문,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"작별 파티 점심, 점심, 어린이와 함께 마시기, 아이들과 함께 즐거움, 저녁 식사, 저녁 식사, 엔터테인먼트, 여학생 파티, 솔로 파티, 모든 음식 및 음료 파티, 욕망과 음료, 흡연 허용, 급여 지불 수락, 온전한 파티, 인기있는 식당, 캐주얼
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,예,,예 (무료),예,,090-3348-7018,,,,,,,,
全席個室 炭火焼き鳥 鳥ごころ 渋谷本店,모든 좌석 개인 객실 숯 구이 야키토리 Torigokoro Shibuya Main Store,050-5462-7422,이자카야 야키토리 해산물과 해산물 요리,"[하루 종일]
 12:00-23:30 L.O. 23:00",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"2-28-2-5F Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (97m)
Keio Inokashira Line / Shinsen 역에서 도보 6 분 (480m)",예,80 석,없음,"예
완전히 흡연이 허용됩니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
최대 70 명을 임대 할 수 있습니다 (좌석)",,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 전산 점수 가격 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, 2 시간, 2 시간 동안 전액을 다듬어 3 시간 동안 전액 도입","우리는 야채 요리, 고기 요리 및 식품 생산 공간에 특히 적합합니다. 요리사는 해외에서 훈련했으며, 요리사는 유명한 식당에서 훈련을 받았으며 요리사는 유명한 식당에서 훈련을 받았으며 요리사에서 요리를 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁, 저녁 식사, 저녁 식사, 날짜, 데이트, 모든 링크, 그룹 데이트, 개인 실, 연말 파티, 새해 파티, 술 마시기, 와인, 개인 실, 흡연 허용, 생일, 개인 객실 날짜, 점심 날짜, 전후에 흠집
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
활발한 상점
차분한 분위기
상단에 있습니다",,,,,,예,영어,050-3773-4674,,,https://x.com/tori_gokoro,,https://www.instagram.com/tori_gokoro,,,
自然派ワインとフランス郷土料理 シュシュ,천연 와인과 프랑스 요리 샤치,050-5304-1589,이자카야 쇠고기 요리,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 11:30-14:00
 17:30-24:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Aono Building 1f, 30-10 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 5 분 (340m)
Keio Inokashira Line / Shinsen Station에서 도보로 7 분 (530m)",예,23 석,"예
(카운터에서 7 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://shushu.foodre.jp/
https://www.chouchou-nature.com/",,"3,000 엔 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 한 시간 30 분 동안 만 살해 당하고 2 시간 동안 싱글 링크","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 주인 요리사 및 매장 준비에 특히 도움이됩니다.","맥주, 술, 와인, 위스키",사용 가능한 예약,"당신은 와인 데이트 엔터테인먼트를 마실 수 있습니다. 엔터테인먼트 마시는 주간 마시는 주간 고기 아이들과 함께 즐길 수있는 고기 작별 파티 개인 점심 날짜 새해 파티 환영 파티 점심 점심 식사 연말 파티 all-you-can-drink 세련된 성인 데이트 성인 새해 파티
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,예,,,예,,03-6416-3868,,,,,,,,
